123.95,3,12,12,3,2,1,1,1
123.96,3,2,3,1,2,1,1,0
123.97,2,2,10,5,0,0,1,3
123.97,1,3,10,0,0,1,1,1
123.97,0,3,4,2,3,2,2,3
123.98,2,1,10,4,0,1,2,3
123.98,1,1,7,0,1,2,0,0
123.99,1,1,8,0,2,2,0,0
124,3,1,13,1,4,2,1,1
124,1,7,7,0,1,2,2,1
124,1,2,4,0,0,1,1,0
124.01,1,1,10,3,0,1,2,1
124.02,1,0,1,3,2,1,0,1
124.02,1,3,2,0,2,2,1,1
124.03,2,2,0,5,1,2,3,1
124.03,0,1,11,1,0,1,1,0
124.03,1,5,7,3,1,2,1,1
124.04,0,4,4,1,1,0,2,0
124.05,1,8,8,0,2,3,1,2
124.05,3,0,0,1,1,1,1,0
124.06,2,2,5,4,0,2,1,2
124.06,1,1,12,2,2,1,1,0
124.06,0,1,1,5,5,1,1,2
124.07,3,4,1,1,7,0,2,2
124.08,1,2,4,1,2,3,1,3
124.08,0,3,4,3,3,2,2,0
124.08,2,9,7,1,2,3,1,2
124.09,1,2,4,4,1,2,1,2
124.09,0,0,4,0,3,1,4,2
124.1,1,0,4,1,1,3,0,2
124.11,2,3,3,1,1,1,0,1
124.11,2,2,6,1,4,1,1,1
124.11,2,13,1,0,1,1,1,1
124.12,1,2,6,1,6,3,1,0
124.12,1,1,23,13,2,2,1,1
124.13,5,7,2,1,2,3,1,2
124.14,0,1,0,3,2,1,1,2
124.14,0,5,1,2,5,4,0,4
124.14,1,4,6,5,2,1,0,1
124.15,1,3,0,4,1,1,2,1
124.16,1,1,5,4,3,4,1,0
124.16,1,2,4,2,4,0,2,1
124.17,3,1,1,1,1,1,1,0
124.17,5,10,8,3,4,3,2,3
124.17,2,0,10,0,0,2,2,0
124.18,1,5,13,5,4,1,1,0
124.19,0,1,4,4,2,1,0,0
124.19,0,1,1,2,1,0,0,1
124.19,1,4,7,6,4,0,1,1
124.2,0,3,1,3,1,2,1,1
124.2,1,6,1,2,3,4,2,1
124.21,2,6,1,6,1,1,2,1
124.22,2,6,2,2,5,1,1,2
124.22,5,3,3,3,5,2,2,3
124.22,1,1,4,2,0,2,2,1
124.23,1,1,13,1,2,3,1,1
124.23,0,2,8,3,1,3,1,0
124.24,3,5,6,1,1,1,1,0
124.25,1,2,0,1,3,3,2,1
124.25,1,2,2,1,4,1,3,2
124.25,1,2,4,2,2,4,1,2
124.26,2,4,18,3,1,1,2,0
124.27,1,0,15,2,2,2,1,1
124.27,0,0,6,0,5,2,2,1
124.28,0,0,5,0,1,4,1,0
124.28,4,10,3,3,4,3,4,2
124.28,1,0,2,2,0,0,0,2
124.29,3,1,5,5,1,0,0,1
124.3,0,2,9,3,1,1,1,1
124.3,0,2,7,0,2,1,0,1
124.31,2,3,1,4,1,2,2,1
124.31,0,2,1,0,2,2,1,2
124.31,1,3,3,1,1,1,2,1
124.32,0,2,1,1,0,2,2,0
124.33,4,4,1,2,1,2,2,2
124.33,1,3,5,2,1,1,0,1
124.33,1,2,15,1,4,2,0,1
124.34,0,6,15,13,1,1,1,2
124.34,3,10,1,5,5,4,1,0
124.35,2,9,19,8,2,4,0,2
124.36,2,1,7,2,0,3,0,2
124.36,3,5,2,1,6,2,2,1
