timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,3,13,-1,-1,-1,-2,-1,-1,0.0
0.01,-8,36,2,-1,0,0,0,-2,0.0
0.015,1,0,0,0,-3,-1,-1,-2,0.0
0.02,-1,-6,-2,-1,-2,-1,0,-2,0.0
0.025,-4,1,-1,-1,-1,-1,-2,-2,0.0
0.03,0,-5,-2,0,-3,0,-2,0,0.0
0.035,1,2,-2,-2,0,1,0,0,0.0
0.04,-23,-9,-3,0,-3,-2,-2,-2,0.0
0.045,4,-3,1,-1,-2,-2,-1,-3,0.0
0.05,0,-8,-3,-1,-1,-4,-3,-1,0.0
0.055,-4,-2,-1,-1,-1,-3,-1,0,0.0
0.06,6,-4,-3,-3,0,1,1,1,0.0
0.065,-2,-3,0,0,0,0,0,0,0.0
0.07,-1,-7,0,0,-1,-2,-1,-2,0.0
0.075,1,-1,-1,0,-1,0,-1,-3,0.0
0.08,4,7,1,0,-1,-2,-3,-2,0.0
0.085,-1,-2,-2,-1,-2,-2,-1,0,0.0
0.09,3,-4,-2,-3,-1,0,0,1,0.0
0.095,-3,0,-2,-1,-1,-2,-2,1,0.0
0.1,0,4,1,0,-1,-1,-1,-2,0.0
0.105,-3,-4,-1,-3,1,-1,0,1,0.0
0.11,1,-7,-1,-1,-2,-1,-1,-2,0.0
0.115,-2,-1,-2,-3,-1,-2,-2,-2,0.0
0.12,1,1,0,-1,-2,-3,-2,-1,0.0
0.125,-2,-2,-1,0,1,-1,-2,-2,0.0
0.13,-1,2,0,-1,-1,-2,-2,-2,0.0
0.135,-1,-4,1,-1,-2,-1,0,-1,0.0
0.14,-1,-3,0,-1,-1,1,0,0,0.0
0.145,-2,0,1,0,-1,0,0,-1,0.0
0.15,1,-3,-3,0,0,-2,-1,-3,0.0
0.155,-1,-4,-1,0,-1,-1,0,0,0.0
0.16,0,-3,-1,-3,2,-2,0,0,0.0
0.165,1,0,-2,-2,-1,-2,-2,-2,0.0
0.17,1,-1,1,-1,-2,-1,-1,0,0.0
0.17500000000000002,-3,-1,-3,-3,-1,-2,-4,-2,0.0
0.18,0,-1,0,1,-1,0,0,-3,0.0
0.185,-2,0,0,0,-1,-2,1,-1,0.0
0.19,0,1,-3,-1,-1,-2,-2,-1,0.0
0.195,-2,-1,-1,-1,-1,-1,-1,0,0.0
0.2,0,-3,0,-1,-2,-2,-1,0,0.0
0.20500000000000002,0,-1,-2,-2,0,-1,-1,-2,0.0
0.21,-2,2,-2,-1,-1,0,-1,-2,0.0
0.215,0,-3,-1,-1,-2,-1,-1,1,0.0
0.22,0,-1,-2,0,-1,-1,0,-1,0.0
0.225,1,-2,1,-3,0,-1,0,-1,0.0
0.23,0,-1,1,-2,-1,-1,0,-3,0.0
0.23500000000000001,-3,0,-2,-1,-2,-2,-1,0,0.0
0.24,-1,-1,-2,-2,-1,-2,-2,-2,0.0
0.245,1,-2,0,-1,-2,-2,-3,0,0.0
0.25,-1,0,0,-1,-3,-2,-1,1,0.0
0.255,-1,-1,0,-1,-3,0,-2,2,0.0
0.26,0,0,1,0,-1,0,-1,-1,0.0
0.265,-2,0,-1,-1,0,0,-1,-1,0.0
0.27,0,0,0,-1,0,0,-1,-2,0.0
0.275,-2,0,-2,-1,1,-2,-1,-5,0.0
0.28,-3,-2,-2,0,-2,-4,0,-3,0.0
0.28500000000000003,-2,0,-3,-2,0,0,-1,0,0.0
0.29,-1,0,-1,-2,0,-1,-2,-1,0.0
0.295,-1,-3,-2,0,0,-2,-3,-1,0.0
0.3,-1,0,-3,-1,-1,-2,-1,1,0.0
0.305,0,-1,-2,-1,0,-1,-1,-1,0.0
0.31,-2,-2,0,-2,-1,0,0,-1,0.0
0.315,-2,0,-1,1,0,-1,-1,-4,0.0
0.32,0,-1,0,1,-2,0,0,-2,0.0
0.325,1,-1,-1,1,-1,-2,-3,0,0.0
0.33,-2,-2,0,-1,-2,-2,-1,1,0.0
0.335,-1,-3,-2,-1,-1,-1,0,-2,0.0
0.34,-1,-1,-2,-2,0,-2,-1,-2,0.0
0.34500000000000003,-2,0,0,-1,-1,-2,-1,0,0.0
0.35000000000000003,-1,0,-1,0,-1,0,-2,-1,0.0
0.355,-2,0,0,-3,-2,0,-2,1,0.0
0.36,-1,-3,-2,-3,-2,-1,-2,-2,0.0
0.365,-2,0,0,-2,-2,-2,-1,-4,0.0
0.37,1,-1,0,-1,-2,-1,-2,0,0.0
0.375,-3,-1,-2,-1,-4,-2,0,-1,0.0
0.38,-2,-1,-3,-2,0,-3,-1,-1,0.0
0.385,2,-3,-1,-1,-1,-2,-2,0,0.0
0.39,-2,-3,0,0,-2,-2,-1,-2,0.0
0.395,0,-2,0,1,-1,-1,-1,-1,0.0
0.4,0,-2,1,0,-2,-1,-2,-1,0.0
0.405,0,0,0,-3,0,0,-2,2,0.0
0.41000000000000003,-1,0,2,-1,0,0,0,-3,0.0
0.41500000000000004,-1,-1,0,-1,-2,-1,-1,0,0.0
0.42,-1,-2,-1,-2,-1,0,-2,-2,0.0
0.425,-1,-2,-1,0,-1,-2,-1,-3,0.0
0.43,-1,-1,0,0,-1,-2,-3,0,0.0
0.435,0,0,-2,0,2,-2,-2,-2,0.0
0.44,0,-1,-2,-5,-2,1,-1,-2,0.0
0.445,1,-1,-3,-4,-1,-3,-1,-1,0.0
0.45,-1,-2,-2,-3,-2,0,0,1,0.0
0.455,-2,1,-1,-1,-3,0,1,-2,0.0
0.46,-1,0,-1,0,-1,-1,-2,-1,0.0
0.465,-3,1,0,1,-2,0,-1,0,0.0
0.47000000000000003,-1,-1,-3,2,0,0,0,0,0.0
0.47500000000000003,1,-2,0,-1,-2,-1,-2,0,0.0
0.48,-2,-2,0,1,-2,-2,0,-1,0.0
0.485,-1,-2,-2,0,-2,-3,0,-2,0.0
0.49,-3,0,-1,-1,-1,-3,-3,-2,0.0
0.495,-1,-2,0,-1,-1,1,-1,0,0.0
0.5,-1,0,-1,1,-3,-3,0,-1,0.0
0.505,-1,-1,-1,-1,-2,0,0,-3,0.0
0.51,0,-2,-1,0,-1,-3,-1,-2,0.0
0.515,-2,0,-3,1,-1,-3,-3,-1,0.0
0.52,-3,0,-1,0,-1,-3,0,-1,0.0
0.525,-2,0,-2,-2,-3,-2,-2,-1,0.0
0.53,-2,-1,-1,-1,-1,0,-1,-2,0.0
0.535,-2,-1,0,-1,0,1,-1,-1,0.0
0.54,-1,0,-1,-2,0,-2,-1,-1,0.0
0.545,0,0,-1,0,-1,-1,-1,0,0.0
0.55,-1,0,1,-3,-3,-2,0,-1,0.0
0.555,0,-3,-1,-3,-1,-1,-1,-2,0.0
0.56,0,-2,0,1,-1,-3,-2,-1,0.0
0.5650000000000001,-2,-2,0,-2,-1,0,-2,-1,0.0
0.5700000000000001,-2,-3,-2,-1,-1,0,-1,1,0.0
0.5750000000000001,-1,0,-1,0,-1,-1,-2,-3,0.0
0.58,-1,0,-1,-1,-2,0,-2,-2,0.0
0.585,-2,-1,-2,-2,-1,-1,0,-2,0.0
0.59,0,-1,-2,-1,0,-2,-1,-1,0.0
0.595,-2,-1,1,-4,0,-1,-4,-1,0.0
0.6,-1,-2,2,0,-1,0,0,-1,0.0
0.605,1,-2,-2,0,-2,-1,1,1,0.0
0.61,-1,-1,-2,0,-3,-2,-2,-1,0.0
0.615,0,-2,-3,0,-1,-3,-1,1,0.0
0.62,-2,0,-2,0,-1,0,-3,-3,0.0
0.625,-2,-2,-1,-2,1,-1,0,1,0.0
0.63,-2,-2,-2,-2,-1,0,1,-2,0.0
0.635,-3,-3,-2,-1,-1,-2,-1,-1,0.0
0.64,-2,0,-2,-2,-1,-2,-1,0,0.0
0.645,-2,-1,-3,0,0,-2,-1,-2,0.0
0.65,-1,-2,-1,1,-2,-1,-2,0,0.0
0.655,-1,-2,1,-1,0,-1,-2,-2,0.0
0.66,-1,-2,0,0,-2,-2,0,-2,0.0
0.665,-2,-1,-1,-1,-2,-1,-1,0,0.0
0.67,-1,-1,1,-2,-2,0,-1,-1,0.0
0.675,2,-1,-1,-3,0,0,0,1,0.0
0.68,-1,0,-1,2,-1,-3,-2,0,0.0
0.685,-1,0,1,-3,-1,-1,-2,2,0.0
0.6900000000000001,0,-1,-3,0,0,-2,-2,-2,0.0
0.6950000000000001,1,-3,-8,-6,14,-3,-1,-2,0.0
0.7000000000000001,0,0,-1,0,-22,-7,-4,-3,0.0
0.705,-1,-3,-2,2,34,-3,0,1,0.0
0.71,-2,-2,-1,2,-20,-7,-3,-2,0.0
0.715,-3,-1,1,29,4,3,-1,-1,0.0
0.72,0,0,-4,17,2,-1,-3,-1,0.0
0.725,-2,-7,-31,10,-4,-3,-1,-1,0.0
0.73,-1,-1,0,-29,23,-3,-1,-1,0.0
0.735,-2,-4,0,-85,-100,-10,-3,-1,0.0
0.74,1,-3,4,-1,29,7,2,3,0.0
0.745,4,3,-12,61,65,7,4,4,0.0
0.75,-1,8,11,25,-15,-1,-1,1,0.0
0.755,-6,-13,-21,-55,-40,-12,-9,-10,0.0
0.76,-2,6,10,45,-4,4,3,-7,0.0
0.765,2,-37,-23,20,23,2,-11,-31,0.0
0.77,3,-7,-30,1,-33,-14,-13,9,0.0
0.775,20,15,14,-30,48,4,12,20,0.0
0.78,2,-3,-1,-56,-10,-4,-4,-2,0.0
0.785,-10,-3,9,41,-62,6,9,22,0.0
0.79,6,17,5,-46,-56,-9,-9,-22,0.0
0.795,-7,5,22,13,100,15,-3,-32,0.0
0.8,5,-20,-20,54,31,3,7,33,0.0
