timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-2,-6,-2,1,-1,-8,-4,1,0.0
0.01,0,1,0,-4,-4,1,-2,-2,0.0
0.015,-2,-3,-5,-6,-5,-1,-2,-3,0.0
0.02,0,-2,-3,-3,-2,-6,-5,-3,0.0
0.025,1,2,2,0,5,-1,1,1,0.0
0.03,-2,-1,-2,-1,-1,-1,-1,-2,0.0
0.035,-1,1,1,2,-4,0,-1,-2,0.0
0.04,-2,-2,-2,-1,-6,-7,-5,-2,0.0
0.045,-2,-3,-1,-3,-5,-1,-2,-1,0.0
0.05,1,-1,-1,1,5,3,3,2,0.0
0.055,-1,-2,-2,-2,3,5,2,-1,0.0
0.06,-3,-4,0,-1,-6,-1,0,-3,0.0
0.065,-1,-6,-3,-3,-3,-2,-4,-2,0.0
0.07,-2,-2,1,0,-2,1,2,0,0.0
0.075,-2,-2,-1,2,-4,-4,-4,-2,0.0
0.08,0,-1,-3,-2,2,-1,1,-1,0.0
0.085,-1,1,-4,-1,-4,1,0,-1,0.0
0.09,-1,-3,2,-5,-5,-1,-1,-3,0.0
0.095,-1,-7,-5,-1,-3,2,-3,-1,0.0
0.1,-2,-2,-2,-1,3,2,3,1,0.0
0.105,1,3,1,2,6,3,6,0,0.0
0.11,-1,-2,2,0,-1,-1,-4,0,0.0
0.115,-1,3,3,-2,-6,-4,-3,-1,0.0
0.12,0,1,0,-4,-4,0,-7,-4,0.0
0.125,0,-3,0,-6,-2,0,0,-1,0.0
0.13,-1,-5,1,9,9,0,0,2,0.0
0.135,2,-2,-3,-2,-2,-4,0,-1,0.0
0.14,0,4,-1,-1,-4,-2,-2,-1,0.0
0.145,0,2,2,3,10,8,4,0,0.0
0.15,-2,-1,-2,-4,-11,-4,-5,-2,0.0
0.155,-2,-3,3,-4,-6,-2,-3,-1,0.0
0.16,-2,-5,-2,2,4,3,4,3,0.0
0.165,-2,-2,-3,-3,-7,-2,-3,-1,0.0
0.17,1,-10,0,-1,-10,-2,-5,-1,0.0
0.17500000000000002,-1,1,-4,-3,-1,3,0,-1,0.0
0.18,-2,3,-4,-5,4,-4,1,-2,0.0
0.185,-1,6,1,0,-3,-1,-1,0,0.0
0.19,-2,-5,4,2,-10,-2,-5,-2,0.0
0.195,-2,-4,0,1,2,2,1,1,0.0
0.2,2,0,-7,-5,5,-1,1,-2,0.0
0.20500000000000002,-2,0,3,1,3,-1,1,-1,0.0
0.21,0,-4,-5,-5,-7,2,-2,0,0.0
0.215,1,-2,2,2,-5,-1,-5,-1,0.0
0.22,-2,-2,-8,-4,1,1,2,-2,0.0
0.225,0,0,2,3,6,2,3,2,0.0
0.23,-2,-2,0,3,-1,0,3,2,0.0
0.23500000000000001,1,1,1,-2,-5,-7,-6,-2,0.0
0.24,-2,-3,-1,-3,4,-2,0,-2,0.0
0.245,0,-3,3,-1,-5,-2,-2,-3,0.0
0.25,-2,-1,3,0,-4,-4,-1,0,0.0
0.255,0,-1,0,-1,0,-2,-2,0,0.0
0.26,-3,4,1,1,1,-1,0,-2,0.0
0.265,-2,-3,-2,0,1,-2,-3,-1,0.0
0.27,-1,-3,2,-3,-4,0,-4,-1,0.0
0.275,-1,0,3,-1,-4,-3,0,-1,0.0
0.28,0,3,0,2,0,-4,-1,-2,0.0
0.28500000000000003,-1,-6,-2,-2,1,2,-1,-1,0.0
0.29,-1,1,-4,2,3,0,-2,-1,0.0
0.295,-1,-5,-3,-1,-5,-1,3,-1,0.0
0.3,-2,0,1,0,1,2,3,0,0.0
0.305,-2,0,-1,0,-2,-2,-5,-1,0.0
0.31,1,3,-1,2,-3,-6,-4,-1,0.0
0.315,-2,-8,-2,-3,-2,0,-2,-3,0.0
0.32,1,2,-2,1,3,1,0,2,0.0
0.325,-1,-4,-6,-3,-7,-6,-2,-3,0.0
0.33,-3,-3,0,-2,-3,0,0,-2,0.0
0.335,-2,2,-3,3,1,-1,-1,0,0.0
0.34,-3,-2,-1,-5,-3,0,-3,-1,0.0
0.34500000000000003,-1,-3,-2,-2,-2,0,-1,-2,0.0
0.35000000000000003,-1,-4,-2,1,-3,-2,2,0,0.0
0.355,1,1,2,0,1,-3,-2,-1,0.0
0.36,-3,0,-3,-4,-3,-4,-1,1,0.0
0.365,-1,1,-3,1,3,2,1,-2,0.0
0.37,-1,-4,3,-1,-1,-1,-2,0,0.0
0.375,-1,-3,-1,-4,-4,-2,-2,-2,0.0
0.38,0,-1,0,2,-2,-1,-6,-3,0.0
0.385,0,0,-3,-4,-1,-1,1,1,0.0
0.39,-1,0,-3,1,-1,-3,0,-1,0.0
0.395,-2,-6,-3,-2,1,1,2,0,0.0
0.4,1,0,2,-1,1,-1,-1,-2,0.0
0.405,-2,-3,-4,-4,-9,-3,-1,-2,0.0
0.41000000000000003,-1,-3,-1,-3,4,0,0,-1,0.0
0.41500000000000004,1,1,0,4,-2,-7,-5,-1,0.0
0.42,-2,1,-2,0,-2,1,-1,-1,0.0
