timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-1,-1,-1,-2,-2,-2,1,-1
0.01,-3,-4,-3,2,3,1,0,-3
0.015,-1,-5,0,-2,0,-1,-1,-1
0.02,0,0,2,-1,-1,-1,1,0
0.025,-1,0,1,-2,-2,-2,-1,-1
0.03,-4,14,-3,-1,-4,-2,0,0
0.035,-1,-1,1,4,1,-1,-1,-1
0.04,3,-1,-3,-2,1,0,-1,1
0.045,-6,-7,-1,4,4,0,-2,-3
0.05,3,0,0,-3,-1,-3,0,0
0.055,-4,0,0,-1,1,0,-3,-2
0.06,-2,2,0,-4,-3,-4,-1,-1
0.065,0,-2,-3,-2,-2,-1,-1,0
0.07,2,4,-3,-2,0,-1,-3,-1
0.075,1,-2,-4,-2,-3,-2,-1,2
0.08,-1,-5,1,-1,-1,-2,-1,-2
0.085,-1,-2,0,0,-1,-1,-3,-1
0.09,-1,-1,1,-3,-3,-4,2,1
0.095,0,-2,-1,1,-1,-1,-2,-3
0.1,-11,35,-3,0,1,1,2,-3
0.105,6,-13,0,-5,-6,-5,0,1
0.11,-4,-6,0,2,1,2,-1,-3
0.115,0,0,0,-5,-2,-1,-1,0
0.12,-3,-2,-5,-1,-2,-1,0,-2
0.125,0,-1,0,-1,-2,-1,-1,-1
0.13,-2,0,0,-1,0,1,-2,-1
0.135,0,1,-3,0,-2,-1,0,0
0.14,-1,-2,-3,0,0,0,-1,-1
0.145,0,-3,-1,-2,0,-1,-1,1
0.15,-2,-3,-2,-1,0,0,0,-1
0.155,-2,1,-3,0,-1,0,-1,-1
0.16,-5,-12,-3,-4,-3,-1,-1,-1
0.165,-2,-2,-2,0,1,0,0,-1
0.17,2,1,-1,-4,-3,-2,-1,0
0.175,-3,0,-2,1,0,0,-1,-1
0.18,0,-1,-3,0,0,-1,0,-1
0.185,-2,2,-3,-3,-2,-1,-2,-2
0.19,-1,-3,-2,-1,-1,0,-1,-2
0.195,0,-12,2,-2,-1,-1,0,-2
0.2,2,1,-1,0,0,0,-2,-2
0.205,-2,-3,0,0,0,-1,-2,-1
0.21,-2,11,-1,-1,-3,-2,-2,-2
0.215,-1,-4,0,-1,-2,-3,-1,-1
0.22,-2,-1,-3,1,0,0,-1,1
0.225,0,5,2,-1,-2,-3,-1,-1
0.23,-2,-6,1,-1,-2,-1,0,-2
0.235,0,3,-3,-1,1,0,-1,-1
0.24,0,2,0,0,-2,-1,1,-1
0.245,-2,-4,-3,-2,-2,0,-2,1
0.25,-2,-1,1,1,1,0,-1,0
0.255,0,2,0,-2,-3,-2,2,0
0.26,-2,3,0,-1,0,-1,-3,-3
0.265,-3,-12,-2,1,-1,0,1,-2
0.27,2,8,3,-3,-2,0,-2,-1
0.275,-3,-4,0,3,1,1,-1,-3
0.28,1,-5,-2,-2,-3,-2,-1,0
0.285,-1,-3,0,-1,0,-1,0,-1
0.29,1,0,1,-4,-4,-4,0,1
0.295,-4,-21,0,1,3,2,0,-4
0.3,0,5,2,1,0,-2,0,2
0.305,-2,2,-2,1,0,-2,-1,-1
0.31,-1,-1,0,0,-4,-1,1,2
0.315,1,2,-2,-1,-4,-2,-2,1
0.32,0,-3,-1,0,-1,-2,-1,-3
