X: 0, Y: 0, Z: 0
X: 0.036921753, Y: 0.0101682996, Z: 0.489224567
X: 0.0373446548, Y: 0.010469839, Z: 0.4988641168
X: 0.0377771013, Y: 0.0107715243, Z: 0.5086041062
X: 0.0382191668, Y: 0.0110735261, Z: 0.5184443151
X: 0.0386708513, Y: 0.0113758215, Z: 0.5283844998
X: 0.0391321553, Y: 0.011678529, Z: 0.5384244416
X: 0.0396031261, Y: 0.0119810424, Z: 0.5485642361
X: 0.040083545, Y: 0.0122830468, Z: 0.5588037876
X: 0.0405731684, Y: 0.0125851464, Z: 0.5691432663
X: 0.0410718499, Y: 0.0128873432, Z: 0.5795829635
X: 0.0415795409, Y: 0.0131895161, Z: 0.5901228563
X: 0.0420963864, Y: 0.0134916655, Z: 0.6007629935
X: 0.0426223396, Y: 0.0137940354, Z: 0.6115034958
X: 0.0431576672, Y: 0.014097061, Z: 0.6223442168
X: 0.0437024588, Y: 0.0144003075, Z: 0.6332847519
X: 0.0442547011, Y: 0.0147036701, Z: 0.6443269885
X: 0.0448195109, Y: 0.0150176742, Z: 0.655464973
X: 0.045400631, Y: 0.0153460489, Z: 0.6666977077
X: 0.0459960895, Y: 0.0156840624, Z: 0.6780301746
X: 0.0466057766, Y: 0.0160319311, Z: 0.6894614282
X: 0.0472283612, Y: 0.0163878396, Z: 0.7009923571
X: 0.0478642496, Y: 0.0167518611, Z: 0.7126220448
X: 0.0485133692, Y: 0.017125928, Z: 0.7243505373
X: 0.0491753584, Y: 0.0175087339, Z: 0.7361781447
X: 0.0498506766, Y: 0.0178986053, Z: 0.7481036604
X: 0.0505395383, Y: 0.0182963738, Z: 0.7601278079
X: 0.0512405686, Y: 0.0187056546, Z: 0.7722510925
X: 0.0519549785, Y: 0.0191273144, Z: 0.7844719164
X: 0.0526841761, Y: 0.0195564142, Z: 0.7967899636
X: 0.053427759, Y: 0.01999251, Z: 0.8092065162
X: 0.0541866707, Y: 0.0204385236, Z: 0.8217215567
X: 0.0549610575, Y: 0.0208927418, Z: 0.8343354256
X: 0.0557502182, Y: 0.0213538085, Z: 0.8470485574
X: 0.0565543001, Y: 0.0218235123, Z: 0.8598602288
X: 0.0573744642, Y: 0.0223022695, Z: 0.872770806
X: 0.0582102527, Y: 0.0227894197, Z: 0.8857817439
X: 0.0590610358, Y: 0.0232829734, Z: 0.8988931659
X: 0.059927267, Y: 0.0237826793, Z: 0.9121041271
X: 0.0608079109, Y: 0.024288266, Z: 0.9254144289
X: 0.0617040291, Y: 0.0247986989, Z: 0.9388238545
X: 0.0626156448, Y: 0.0253159846, Z: 0.952332837
X: 0.0635414041, Y: 0.0258402711, Z: 0.9659409169
X: 0.0644819041, Y: 0.0263701843, Z: 0.9796478076
X: 0.0654364233, Y: 0.0269072283, Z: 0.9934549858
X: 0.0664056155, Y: 0.0274533671, Z: 1.0073625726
X: 0.0673901599, Y: 0.0280076544, Z: 1.0213690646
X: 0.0683896993, Y: 0.028567697, Z: 1.0354739191
X: 0.0694050319, Y: 0.029135589, Z: 1.0496761893
X: 0.0704363029, Y: 0.0297104659, Z: 1.0639757784
X: 0.0714826624, Y: 0.030292065, Z: 1.0783737301
X: 0.072543403, Y: 0.0308822188, Z: 1.0928706549
X: 0.0736181344, Y: 0.0314790902, Z: 1.1074667981
X: 0.0747068306, Y: 0.0320817749, Z: 1.122162305
X: 0.075809495, Y: 0.0326900787, Z: 1.1369569531
X: 0.0769269272, Y: 0.0333047548, Z: 1.1518494583
X: 0.0780592729, Y: 0.0339266032, Z: 1.1668398916
X: 0.0792058051, Y: 0.0345550665, Z: 1.1819291495
X: 0.0803662526, Y: 0.0351892711, Z: 1.1971172602
X: 0.0815402019, Y: 0.0358293609, Z: 1.2124042975
X: 0.0827274333, Y: 0.0364757965, Z: 1.2277905537
X: 0.083927921, Y: 0.0371286036, Z: 1.2432763699
X: 0.0851415205, Y: 0.0377876363, Z: 1.2588619398
X: 0.0863684508, Y: 0.0384527709, Z: 1.274546924
X: 0.0876091003, Y: 0.0391234997, Z: 1.2903310311
X: 0.088863495, Y: 0.0398001129, Z: 1.3062144053
X: 0.0901316834, Y: 0.0404830942, Z: 1.3221970942
X: 0.0914136399, Y: 0.0411719124, Z: 1.3382787353
X: 0.0927090013, Y: 0.041866538, Z: 1.3544594271
X: 0.0940177908, Y: 0.0425661447, Z: 1.3707400176
X: 0.0953401048, Y: 0.0432700534, Z: 1.3871204109
X: 0.0966758218, Y: 0.0439788916, Z: 1.4036000493
X: 0.0980247496, Y: 0.0446927358, Z: 1.4201788824
X: 0.0993873979, Y: 0.0454119247, Z: 1.4368569352
X: 0.1007642264, Y: 0.0461363391, Z: 1.4536344496
X: 0.1021546057, Y: 0.046866052, Z: 1.4705113772
X: 0.1035581473, Y: 0.0476013016, Z: 1.4874874279
X: 0.1049752366, Y: 0.048341022, Z: 1.5045628442
X: 0.1064057287, Y: 0.0490848943, Z: 1.5217379406
X: 0.1078493555, Y: 0.0498329674, Z: 1.5390124017
X: 0.1093058507, Y: 0.0505857015, Z: 1.5563857682
X: 0.1107754574, Y: 0.0513430248, Z: 1.5738585967
X: 0.1122587321, Y: 0.0521046956, Z: 1.5914312271
X: 0.1137552648, Y: 0.0528709525, Z: 1.6091032968
X: 0.1152649337, Y: 0.0536410707, Z: 1.6268746595
X: 0.1167879558, Y: 0.0544153156, Z: 1.644745412
X: 0.1183242602, Y: 0.0551940964, Z: 1.6627157006
X: 0.1198740148, Y: 0.0559765877, Z: 1.6807856476
X: 0.1214369039, Y: 0.0567618384, Z: 1.6989554291
X: 0.1230124999, Y: 0.0575489135, Z: 1.7172266047
X: 0.1245911348, Y: 0.0583050905, Z: 1.7356073311
X: 0.1261598824, Y: 0.0590304392, Z: 1.7540888618
X: 0.1277060527, Y: 0.0597935598, Z: 1.7726559533
X: 0.1292364816, Y: 0.060603177, Z: 1.7913211476
X: 0.1307656011, Y: 0.0614161594, Z: 1.8100866741
X: 0.1322857218, Y: 0.0622188064, Z: 1.8289462194
X: 0.1337916324, Y: 0.0630136869, Z: 1.847905716
X: 0.1352839154, Y: 0.0638026846, Z: 1.8669650596
X: 0.1367620311, Y: 0.0645879085, Z: 1.8861225111
X: 0.1382236688, Y: 0.0653740493, Z: 1.9053793749
X: 0.1396668549, Y: 0.0661631146, Z: 1.9247365022
X: 0.1410910011, Y: 0.0669558058, Z: 1.9441934813
X: 0.1424962753, Y: 0.0677559629, Z: 1.9637494881
X: 0.1438828714, Y: 0.0685662429, Z: 1.9834047604
X: 0.1452506443, Y: 0.0693870656, Z: 2.0031590307
X: 0.1465994719, Y: 0.0702178035, Z: 2.0230117437
X: 0.1479292131, Y: 0.0710585748, Z: 2.042963654
X: 0.1492410834, Y: 0.0719032947, Z: 2.0630162767
X: 0.1505363415, Y: 0.0727502562, Z: 2.0831722056
X: 0.151813617, Y: 0.0736028024, Z: 2.1034305193
X: 0.1530741832, Y: 0.0744627341, Z: 2.1237883297
X: 0.154328992, Y: 0.0753410957, Z: 2.1442451119
X: 0.1555961073, Y: 0.076266389, Z: 2.1647996548
X: 0.1568818494, Y: 0.0772447258, Z: 2.1854524061
X: 0.1581679478, Y: 0.0782315619, Z: 2.2062015213
X: 0.1594396681, Y: 0.0792073806, Z: 2.2270455202
X: 0.1606949847, Y: 0.0801815541, Z: 2.2479916737
X: 0.1619324624, Y: 0.0811549586, Z: 2.2690427359
X: 0.163152627, Y: 0.0821315532, Z: 2.2901956824
X: 0.1643551412, Y: 0.0831132686, Z: 2.3114486316
X: 0.1655398845, Y: 0.0841004744, Z: 2.3328003418
X: 0.1667073885, Y: 0.085092875, Z: 2.3542511236
X: 0.167857433, Y: 0.0860888206, Z: 2.3758011262
X: 0.1689889273, Y: 0.0870878709, Z: 2.397450979
X: 0.1701019149, Y: 0.0880906517, Z: 2.4192005144
X: 0.1711962254, Y: 0.0890965562, Z: 2.4410495394
X: 0.1722715891, Y: 0.0901046585, Z: 2.4629984396
X: 0.1733273963, Y: 0.0911141927, Z: 2.4850469188
X: 0.1743627909, Y: 0.0921283054, Z: 2.5071932068
X: 0.1753763278, Y: 0.0931473259, Z: 2.5294370396
X: 0.1763647924, Y: 0.0941656424, Z: 2.5517808159
X: 0.177325191, Y: 0.0951786432, Z: 2.5742249962
X: 0.1782570745, Y: 0.0961833704, Z: 2.5967672997
X: 0.1791601226, Y: 0.0971775355, Z: 2.6194062174
X: 0.1800334404, Y: 0.0981611319, Z: 2.6421421088
X: 0.1808836932, Y: 0.099128775, Z: 2.6649635571
X: 0.1817131493, Y: 0.1000783477, Z: 2.6878737257
X: 0.182537071, Y: 0.1010067878, Z: 2.7108939287
X: 0.1833666715, Y: 0.1019013224, Z: 2.7340212552
X: 0.1841924239, Y: 0.1027566963, Z: 2.757245296
X: 0.1850132238, Y: 0.103573619, Z: 2.7805642856
X: 0.1858288477, Y: 0.1043530131, Z: 2.8039770767
X: 0.1866390292, Y: 0.105094783, Z: 2.8274832041
X: 0.1874439598, Y: 0.1057982959, Z: 2.8510825466
X: 0.1882433973, Y: 0.1064628697, Z: 2.8747755152
X: 0.1890370972, Y: 0.1070881396, Z: 2.8985620889
X: 0.1898247405, Y: 0.1076744449, Z: 2.9224426065
X: 0.190605525, Y: 0.1082221979, Z: 2.9464170923
X: 0.1913790377, Y: 0.1087311549, Z: 2.9704851591
X: 0.1921457625, Y: 0.109200588, Z: 2.9946469013
X: 0.1929059928, Y: 0.109630373, Z: 3.018902076
X: 0.1936599466, Y: 0.1100204601, Z: 3.0432504103
X: 0.1944072897, Y: 0.110370642, Z: 3.0676905187
X: 0.1951490873, Y: 0.1106775794, Z: 3.0922214202
X: 0.1958855139, Y: 0.1109361166, Z: 3.1168414594
X: 0.1966167675, Y: 0.1111443224, Z: 3.1415494473
X: 0.1973437683, Y: 0.1113028706, Z: 3.1663464932
X: 0.1980662316, Y: 0.1114125855, Z: 3.1912325989
X: 0.1987847379, Y: 0.1114729802, Z: 3.2162071116
X: 0.199499387, Y: 0.1114826484, Z: 3.2412702692
X: 0.2002103418, Y: 0.1114416342, Z: 3.2664216875
X: 0.2009158256, Y: 0.1113502999, Z: 3.2916619222
X: 0.2016135002, Y: 0.1112083087, Z: 3.3169910415
X: 0.202301852, Y: 0.1110159236, Z: 3.3424073965
X: 0.2029802224, Y: 0.110772564, Z: 3.3679103765
X: 0.203648925, Y: 0.1104781786, Z: 3.3935003436
X: 0.2043083018, Y: 0.1101326214, Z: 3.4191776373
X: 0.2049588142, Y: 0.1097357468, Z: 3.4449419438
X: 0.2056003895, Y: 0.1092876538, Z: 3.470793214
X: 0.2062325643, Y: 0.1087890238, Z: 3.4967316187
X: 0.2068546104, Y: 0.1082405368, Z: 3.5227574976
X: 0.2074665756, Y: 0.1076420265, Z: 3.5488708501
X: 0.208069012, Y: 0.1069936002, Z: 3.5750711967
X: 0.2086606955, Y: 0.1062919844, Z: 3.6013597159
X: 0.2092437848, Y: 0.1055360284, Z: 3.6277348768
X: 0.2098203415, Y: 0.1047260129, Z: 3.654194188
X: 0.2103889353, Y: 0.1038605019, Z: 3.6807399877
X: 0.2109532144, Y: 0.1029435815, Z: 3.7073720281
X: 0.2115124034, Y: 0.1019809753, Z: 3.7340925677
X: 0.2120627259, Y: 0.1009705689, Z: 3.7609034768
X: 0.2126054918, Y: 0.0999108489, Z: 3.7878037573
X: 0.2131448802, Y: 0.0988071248, Z: 3.8147963822
X: 0.2136830324, Y: 0.0976622092, Z: 3.841880854
X: 0.2142182128, Y: 0.0964776683, Z: 3.8690569639
X: 0.214750342, Y: 0.0952547423, Z: 3.8963275215
X: 0.2152794886, Y: 0.0939931417, Z: 3.9236927515
X: 0.2158047042, Y: 0.0926918919, Z: 3.9511515633
X: 0.2163249704, Y: 0.0913498267, Z: 3.9787035387
X: 0.216840913, Y: 0.0899669899, Z: 4.0063481417
X: 0.217352579, Y: 0.0885434038, Z: 4.0340850064
X: 0.2178590004, Y: 0.087078537, Z: 4.0619139863
X: 0.2183602941, Y: 0.0855727501, Z: 4.089835203
X: 0.2188564126, Y: 0.0840258482, Z: 4.1178488742
X: 0.2193474296, Y: 0.0824372016, Z: 4.1459548341
X: 0.219833683, Y: 0.0808070284, Z: 4.174153785
