timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-1,-1,-2,-3,-2,-2,-3,-2
0.01,-3,-2,-1,-1,-1,-2,-3,0
0.015,-1,-2,-1,-1,-1,-1,-1,-2
0.02,1,-1,0,1,-2,-1,0,-1
0.025,-1,-1,-2,1,-1,-1,0,0
0.03,-3,-1,-1,0,-3,2,-2,-1
0.035,-1,0,0,-2,1,0,-3,0
0.04,-2,0,-1,-1,0,-4,-2,1
0.045,-1,-1,-1,-3,-1,-2,-2,-1
0.05,-1,-1,-2,-2,-3,-1,-1,-2
0.055,0,0,-1,0,-1,1,2,0
0.06,0,-1,-2,-1,-1,0,-1,-2
0.065,0,-1,-1,1,-1,1,-1,0
0.07,-1,-1,-1,-2,0,-2,-1,-1
0.075,-2,0,-1,-1,-3,-1,-1,-1
0.08,-2,-1,-1,-2,-1,-2,-1,-2
0.085,-1,0,-1,-1,-4,-1,-3,-1
0.09,1,0,0,1,-2,-1,-2,-3
0.095,0,-1,-2,-2,0,-1,-2,-2
0.1,-2,-3,-1,-4,-1,0,0,-2
0.105,-2,1,0,-2,-1,1,-1,-2
0.11,0,0,-1,-2,0,0,0,1
0.115,-1,1,-3,-1,-2,-1,-2,0
0.12,-2,0,-1,-1,-1,-1,-1,-1
0.125,-2,0,0,-1,-2,-1,-4,-3
0.13,-1,1,-2,-1,0,-2,1,-2
0.135,-2,-2,-2,-1,0,-4,0,-1
0.14,-1,0,-2,-2,-1,-3,0,-1
0.145,-2,-2,-4,-1,0,0,0,-2
0.15,-1,0,0,-1,-2,0,0,-1
0.155,-1,0,-2,-1,0,0,-1,-2
0.16,-1,-1,1,-2,-1,0,0,-1
0.165,1,0,-1,-1,0,-2,-2,-1
0.17,0,-2,-1,-1,-3,-2,0,-1
0.175,0,-2,-1,-1,-2,0,-2,-2
0.18,-1,1,0,-2,-1,-3,-3,0
0.185,0,0,0,-1,-1,-1,-1,-2
0.19,1,-4,-2,-1,0,0,0,2
0.195,-1,-1,-1,1,0,-3,-1,-2
0.2,-1,-2,-1,-1,-1,0,0,-4
0.205,-1,-1,0,-1,-2,0,2,0
0.21,-1,1,-2,-1,-1,-2,-1,-2
0.215,0,-1,-3,-3,-3,1,-2,-1
0.22,-1,-1,0,-2,-2,1,-4,-2
0.225,0,0,-2,-1,-3,0,-2,-1
0.23,-1,0,-2,0,0,0,-1,-1
0.235,-2,-1,-1,-1,1,-1,-2,-1
0.24,-1,-1,1,2,-1,-1,-1,-3
0.245,-1,-2,-1,0,0,-2,-2,-2
0.25,-1,-1,-2,-1,-1,0,-4,-2
0.255,-2,1,0,-1,-2,-2,-1,-1
0.26,-2,-1,-3,-1,-3,-3,-1,1
0.265,0,-1,-1,0,0,0,-3,-2
0.27,-2,-1,-1,-2,0,0,-1,-2
0.275,0,0,-1,0,1,-1,-3,-1
0.28,-1,-1,-1,0,-1,0,-3,-2
