0.01,2,0,4,3,6,4,2,1
0.015,0,4,1,1,1,2,3,1
0.02,2,4,0,0,3,0,0,0
0.025,1,1,1,1,7,3,2,3
0.03,1,3,0,3,5,1,2,2
0.035,1,4,3,5,10,4,2,1
0.04,1,4,2,3,6,3,5,3
0.045,3,4,2,1,1,3,3,3
0.05,0,4,2,5,3,2,6,0
0.055,3,7,2,6,1,3,3,2
0.06,2,2,0,2,7,8,0,2
0.065,0,2,6,6,9,2,3,2
0.07,3,2,2,1,8,6,5,6
0.075,1,0,6,0,4,2,4,2
0.08,1,1,0,4,1,0,3,2
0.085,3,1,2,4,2,1,3,1
0.09,2,3,3,7,5,1,8,3
0.095,4,0,1,5,10,4,1,0
0.1,0,1,1,2,2,3,6,1
0.105,4,1,2,3,4,2,4,2
0.11,17,9,2,1,2,8,2,3
0.115,3,3,2,1,3,5,11,6
0.12,1,1,1,2,2,2,0,1
0.125,1,2,1,1,3,1,3,1
0.13,2,1,0,1,1,2,1,1
0.135,1,1,1,1,2,1,0,3
0.14,1,3,3,1,3,7,3,0
0.145,1,2,0,2,2,4,2,2
0.15,3,1,1,2,1,0,0,2
0.155,0,7,3,1,4,0,1,3
0.16,2,1,0,1,3,1,0,10
0.165,1,0,0,4,0,2,0,3
0.17,1,2,2,1,1,0,4,1
0.175,0,0,6,0,0,4,2,1
0.18,6,7,2,1,0,0,3,2
0.185,3,1,2,2,1,3,5,4
0.19,2,2,2,1,3,4,2,0
0.195,0,2,0,4,8,4,5,5
0.2,1,0,1,0,2,1,0,0
0.205,0,1,1,4,7,3,3,3
0.21,1,3,1,4,3,1,0,1
0.215,1,2,1,2,0,2,1,2
0.22,1,2,1,3,3,1,2,2
0.225,5,8,2,3,6,5,6,2
0.23,3,1,2,0,5,3,0,1
0.235,2,2,1,0,1,7,2,2
0.24,1,2,0,0,4,1,1,2
0.245,1,0,3,1,2,2,3,1
0.25,0,4,2,0,2,1,3,0
0.255,3,3,2,2,6,4,1,2
0.26,2,2,1,1,3,1,1,1
0.265,1,1,0,3,1,4,5,8
0.27,2,2,2,2,0,1,3,2
0.275,2,3,1,0,1,3,5,2
0.28,0,2,0,0,2,0,1,0
0.285,1,2,1,1,4,0,4,2
0.29,1,0,2,1,2,0,2,2
0.295,2,3,1,0,1,3,4,0
0.3,0,1,0,1,0,4,4,2
0.305,1,1,2,6,4,2,2,3
0.31,1,4,1,1,1,3,4,1
0.315,2,3,1,2,1,3,0,1
0.32,6,0,1,2,5,4,2,0
0.325,1,1,0,0,1,2,2,0
0.33,1,0,0,0,0,1,3,6
0.335,1,2,0,1,1,1,5,1
0.34,2,1,1,0,1,2,1,1
0.345,1,1,1,1,3,2,1,2
0.35,2,3,3,2,5,1,4,5
0.355,3,2,2,2,3,0,1,3
0.36,1,2,1,1,2,4,0,3
0.365,0,2,1,3,3,7,2,1
0.37,3,0,1,1,0,2,2,2
0.375,4,0,2,2,2,2,2,0
0.38,1,1,0,5,2,1,1,2
0.385,1,0,3,2,4,2,1,2
0.39,1,3,1,3,4,1,2,1
0.395,2,2,3,3,0,0,3,3
0.4,0,1,0,1,1,5,1,3
0.405,1,2,1,1,3,3,0,1
0.41,0,0,0,1,2,0,1,2
