8.63,2,3,2,3,6,0,0,1
8.635,1,2,4,5,0,0,0,0
8.64,2,2,1,2,4,2,3,1
8.645,2,0,1,1,2,1,2,2
8.65,2,3,1,2,4,2,3,0
8.655,1,1,0,1,6,3,0,0
8.66,2,0,10,9,2,2,1,0
8.665,2,1,1,0,0,2,1,1
8.67,2,1,1,2,2,1,2,1
8.675,3,2,6,7,0,4,0,0
8.68,0,2,3,1,4,3,1,1
8.685,1,1,2,1,2,0,1,2
8.69,1,1,1,0,2,0,0,2
8.695,1,1,3,4,0,0,1,0
8.7,1,3,4,3,1,1,1,2
8.705,1,1,4,0,3,1,0,1
8.71,0,2,2,5,4,1,1,2
8.715,2,1,2,2,2,1,2,1
8.72,0,0,0,1,1,1,0,2
8.725,0,2,0,4,0,2,0,1
8.73,1,1,1,2,1,1,1,3
8.735,1,0,4,2,1,2,3,3
8.74,1,2,0,1,0,1,2,1
8.745,3,2,0,0,2,1,0,0
8.75,0,1,5,4,2,3,3,1
8.755,1,1,1,0,1,2,3,1
8.76,0,0,1,0,0,2,0,0
8.765,1,1,2,0,2,2,0,1
8.77,3,6,4,3,0,1,0,3
8.775,0,3,0,0,4,0,0,1
8.78,0,0,1,1,4,3,2,2
8.785,1,4,1,9,6,0,0,0
8.79,5,2,4,6,6,2,0,0
8.795,1,2,2,1,1,2,1,1
8.8,2,2,1,1,0,1,3,1
8.805,2,1,1,4,2,3,1,2
8.81,1,2,2,0,0,2,0,1
8.815,2,2,2,4,2,2,1,3
8.82,3,1,1,0,1,1,0,0
8.825,2,2,1,1,3,1,1,2
8.83,0,1,0,1,4,2,0,3
8.835,2,3,3,0,5,1,1,1
8.84,0,0,1,1,3,0,1,0
8.845,1,1,4,4,3,3,1,1
8.85,1,0,2,0,1,1,1,1
8.855,1,0,1,1,4,2,2,1
8.86,1,1,1,1,3,0,1,0
8.865,1,1,0,0,1,1,1,1
8.87,0,1,2,2,1,2,2,1
8.875,0,1,3,3,4,2,1,2
8.88,1,3,4,2,0,2,2,0
8.885,0,1,1,1,2,2,1,0
8.89,0,3,2,0,1,0,1,1
8.895,1,1,2,5,5,2,0,1
8.9,3,6,5,5,7,1,1,3
8.905,2,2,2,2,1,1,1,0
8.91,1,1,1,1,3,0,0,1
8.915,1,1,1,1,1,0,0,1
8.92,3,0,3,5,5,3,1,2
8.925,2,3,3,0,2,3,2,4
8.93,2,0,2,1,0,2,2,1
8.935,1,0,0,1,1,1,0,0
8.94,0,1,1,1,2,2,0,1
8.945,1,1,5,4,2,2,2,1
8.95,2,1,1,1,1,0,1,2
8.955,0,2,1,2,2,0,0,1
8.96,1,2,4,6,2,1,3,1
8.965,1,2,1,1,1,1,0,3
8.97,2,1,1,1,2,2,0,1
8.975,0,1,1,0,4,0,1,0
8.98,2,4,1,1,1,1,0,0
8.985,1,1,2,1,2,1,2,0
8.99,2,1,1,0,2,1,0,0
8.995,2,4,2,3,4,3,0,1
9,0,1,1,3,1,1,0,0
9.005,1,2,4,5,5,1,3,2
9.01,2,3,1,0,1,3,1,2
9.015,0,0,2,5,1,1,1,2
9.02,1,2,2,2,2,3,2,1
9.025,1,1,1,1,0,1,2,0
9.03,1,0,1,3,2,1,1,0
9.035,2,6,10,8,4,1,2,2
9.04,0,1,9,5,1,2,3,1
9.045,1,2,3,3,1,1,0,0
9.05,2,3,8,0,1,0,2,2
9.055,3,4,7,8,5,5,3,2
9.06,2,3,4,5,2,1,0,2
9.065,1,0,5,3,1,1,0,2
9.07,1,1,5,1,3,1,1,0
9.075,2,0,4,1,1,2,0,1
9.08,1,0,4,4,5,1,1,1
9.085,2,0,2,1,0,2,3,1
9.09,0,1,11,18,5,2,1,2
9.095,3,1,3,5,6,0,2,3
9.1,0,2,2,3,2,0,1,1
9.105,1,2,1,3,4,3,1,1
9.11,3,5,9,4,6,2,2,1
9.115,1,3,3,3,5,2,2,1
9.12,1,3,10,8,2,1,1,2
9.125,0,1,7,6,0,1,1,3
9.13,0,1,18,37,3,1,0,1
9.135,4,8,38,44,10,6,4,2
9.14,3,5,4,2,2,1,0,0
9.145,2,4,1,2,1,1,1,2
9.15,2,4,5,1,3,0,1,1
9.155,0,2,14,17,3,2,1,1
9.16,0,1,3,6,2,0,0,0
9.165,3,0,9,4,3,5,2,1
9.17,1,2,7,7,2,2,1,0
9.175,1,1,13,13,1,0,0,2
9.18,0,5,19,17,6,3,3,3
9.185,1,0,4,8,1,0,0,1
9.19,0,2,7,9,0,1,0,0
9.195,1,4,5,7,0,1,1,0
9.2,2,2,2,0,3,1,1,2
9.205,2,3,6,15,1,2,1,0
9.21,2,2,4,2,1,1,1,2
9.215,0,2,7,11,0,2,1,1
9.22,0,1,4,12,0,0,0,1
9.225,1,1,1,4,3,1,2,1
9.23,4,2,11,14,7,3,2,5
9.235,1,1,2,1,0,1,1,0
9.24,0,2,17,19,4,1,1,0
9.245,0,1,14,20,1,1,1,4
9.25,9,7,18,14,6,1,1,1
9.255,2,1,15,25,7,6,3,8
9.26,2,11,14,9,8,7,4,5
9.265,0,1,22,26,2,0,1,1
9.27,1,6,22,7,9,4,1,7
9.275,10,4,44,66,6,1,2,5
9.28,42,12,10,23,4,4,1,1
9.285,34,5,1,1,1,1,2,2
9.29,6,0,6,20,2,1,0,1
9.295,6,3,16,17,4,5,6,7
9.3,6,2,2,26,5,0,1,1
9.305,26,3,1,2,3,4,2,3
9.31,3,2,12,6,5,1,1,2
9.315,0,3,3,2,6,4,1,4
9.32,3,6,13,10,1,1,1,1
9.325,0,2,3,1,1,0,0,3
9.33,2,1,5,3,2,1,2,4
9.335,5,2,12,4,1,0,0,2
9.34,5,3,6,7,1,2,4,4
9.345,3,2,8,17,3,2,0,2
9.35,3,3,8,3,2,5,2,4
9.355,4,2,13,10,1,1,0,1
9.36,10,4,9,24,1,2,0,1
9.365,2,6,11,26,3,3,2,2
9.37,12,2,4,28,10,4,3,6
9.375,1,6,20,29,3,2,2,1
9.38,7,2,11,17,9,5,0,0
9.385,0,0,7,9,1,2,1,1
9.39,9,4,10,13,0,2,2,7
9.395,3,3,16,26,0,1,0,4
9.4,7,2,28,43,9,5,4,5
9.405,3,1,1,7,1,1,0,0
9.41,6,5,10,12,2,0,1,1
9.415,2,5,23,32,9,3,1,1
9.42,7,9,37,37,8,7,2,3
9.425,1,3,3,1,1,2,1,3
9.43,1,1,4,3,1,2,0,4
9.435,7,5,6,14,3,4,2,2
9.44,3,3,22,39,2,0,3,3
9.445,6,0,3,16,5,1,3,5
9.45,3,5,6,1,3,3,1,3
9.455,22,12,20,6,9,6,4,2
9.46,3,1,12,16,2,3,2,1
9.465,2,1,2,1,1,2,2,3
9.47,1,2,15,3,4,3,0,0
9.475,7,2,19,18,0,0,1,2
9.48,10,2,6,0,3,0,1,1
9.485,8,6,0,4,6,1,0,0
9.49,6,2,15,14,3,3,2,2
9.495,12,4,5,4,2,1,2,1
9.5,12,4,6,2,3,2,4,5
9.505,4,4,1,9,0,1,0,1
9.51,7,4,0,15,5,1,0,1
9.515,9,12,6,11,3,0,2,1
9.52,8,5,15,14,4,0,2,3
9.525,0,6,3,4,1,1,2,2
9.53,4,4,18,38,12,5,4,5
9.535,3,8,11,31,3,2,0,1
9.54,3,3,6,2,2,1,1,2
9.545,10,5,4,2,2,5,5,5
9.55,4,4,6,5,2,2,1,3
9.555,7,2,1,20,1,2,1,1
9.56,9,3,4,5,7,3,1,4
9.565,3,4,4,15,5,3,1,1
9.57,5,6,1,2,5,3,0,0
9.575,23,28,4,16,1,4,6,6
9.58,8,23,16,24,7,4,4,7
9.585,8,11,15,18,3,2,0,1
9.59,10,6,8,11,5,2,0,1
9.595,34,23,11,5,4,2,4,10
9.6,20,11,1,1,2,3,8,11
9.605,45,16,6,2,0,5,4,8
9.61,16,28,3,13,4,0,7,10
9.615,8,9,4,17,9,9,8,7
