timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-5,-3,-20,4,16,-2,-4,0
0.01,4,0,2,-23,0,2,5,-1
0.015,-3,3,28,31,-8,2,1,-3
0.02,3,1,-30,-6,0,0,15,-1
0.025,-6,-7,-20,-14,-8,-3,-19,-4
0.03,-1,-2,-9,3,-5,-7,-10,-1
0.035,2,0,-7,-19,0,0,-7,1
0.04,-1,4,12,-2,-2,-1,1,-3
0.045,-1,-1,1,-12,-4,1,-1,2
0.05,-3,0,1,-16,-3,-3,-2,-6
0.055,-2,-4,1,24,1,-3,3,3
0.06,-5,-3,5,-26,0,0,-8,-3
0.065,-1,-1,-12,-21,9,4,12,-1
0.07,-1,-4,18,62,1,-2,-8,-1
0.075,-1,0,-3,-22,2,0,4,-3
0.08,-2,-4,-9,-24,-12,-4,-4,-2
0.085,1,0,28,3,-6,-3,-16,-3
0.09,-3,-3,-36,-21,-4,-4,13,1
0.095,1,1,10,41,8,2,-3,-1
0.1,-5,-6,1,-19,2,-5,-7,2
0.105,-1,3,8,14,-9,2,5,-7
0.11,-4,-5,-2,4,4,5,-5,-8
0.115,8,0,-13,-17,0,-5,3,15
0.12,2,-4,0,14,-2,1,2,0
0.125,-5,-2,-1,0,0,0,-3,-5
0.13,-2,-2,-4,1,9,4,1,-1
0.135,-1,-2,-1,0,0,-2,-1,-3
0.14,-1,-1,-2,-5,-3,-6,-4,-2
0.145,-1,-1,7,8,-8,-5,-1,1
0.15,0,-3,-18,-31,3,1,1,-2
0.155,-1,1,4,-24,-11,0,1,1
0.16,-9,-5,-3,97,8,-3,-4,-6
0.165,5,-2,17,-26,13,4,2,1
0.17,-2,2,-15,-35,-15,-4,-3,-1
0.175,0,-4,-6,-6,11,1,-4,-1
0.18,2,13,9,-25,1,3,2,2
0.185,-10,-18,-17,44,-1,-6,-8,-9
0.19,-2,0,62,35,1,0,1,0
0.195,-4,-3,-43,-7,-3,-3,0,-5
0.2,1,-2,-10,-60,-10,-4,-4,3
0.205,0,5,10,-8,2,2,1,-2
0.21,1,1,-4,20,2,1,2,5
0.215,-2,-4,-1,-11,-6,-4,-8,-3
0.22,-5,-6,9,0,-2,1,0,-11
0.225,4,5,-2,23,6,1,-2,7
0.23,1,-2,-36,-44,1,-1,4,0
0.235,0,0,15,23,-13,0,4,-9
0.24,3,4,8,8,4,1,0,1
0.245,-7,0,-4,21,-5,-3,-8,-6
0.25,-1,-1,11,12,3,-3,-6,-5
0.255,-3,-2,7,-13,-2,1,6,2
0.26,4,-5,-8,-11,-3,-5,-14,-3
0.265,0,-1,3,-3,-5,5,4,-10
0.27,2,-6,6,21,4,-4,-31,8
0.275,37,4,-3,-34,-7,0,11,-1
0.28,-72,-8,-12,-4,0,-5,-13,-4
0.285,0,0,11,0,-4,-2,3,-8
0.29,-7,-8,-48,-14,-3,4,16,3
0.295,-1,4,22,35,10,1,-9,-5
0.3,17,-3,-21,-107,3,-5,-7,-3
0.305,-5,-3,14,58,1,5,3,3
0.31,-4,5,0,11,-4,-4,-6,-6
0.315,1,4,10,5,8,4,12,12
0.32,12,-1,-4,13,1,4,13,-1
0.325,-6,0,-23,-42,-8,-10,-14,-8
0.33,4,2,14,-14,4,-2,-10,-8
0.335,-13,-8,-1,21,-2,-3,-6,6
0.34,14,2,8,50,5,0,-9,-9
0.345,12,-2,-27,-110,-10,0,12,18
