timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,2,1,-2,3,-8,0,-2,0
0.01,2,-1,1,0,-1,0,5,-2
0.015,-2,2,1,0,-4,0,-2,-1
0.02,-1,-4,1,-4,-1,3,-1,1
0.025,-2,-3,3,-3,-4,0,0,-2
0.03,0,0,-4,-6,-4,0,-1,-2
0.035,2,-1,-2,1,2,0,-2,-8
0.04,-1,0,-3,0,-1,1,0,-2
0.045,-1,-4,-1,6,2,4,-2,0
0.05,-7,-4,-12,-8,-6,4,0,2
0.055,1,0,5,-20,9,-3,2,-1
0.06,-2,0,9,8,0,-2,-2,-4
0.065,-1,3,-1,5,2,-3,-4,-3
0.07,0,-1,8,6,-9,-5,-3,-6
0.075,1,3,-4,-8,-11,1,2,2
0.08,-1,-3,-6,-9,-3,-3,0,-2
0.085,-2,-2,-12,-3,8,-2,3,-2
0.09,1,1,-1,9,-2,-9,-4,-1
0.095,0,-4,7,1,-10,-1,-2,-2
0.1,4,1,4,8,4,-4,-2,-1
0.105,-2,1,1,-2,7,6,2,2
0.11,1,-3,3,-22,2,3,-3,0
0.115,5,-1,0,1,-1,1,-2,-2
0.12,-5,0,-8,0,-1,-2,0,1
0.125,2,1,-3,7,5,-9,-3,-1
0.13,0,2,-5,7,4,1,2,3
0.135,-4,1,2,2,-3,11,-3,3
0.14,-2,-1,-2,-17,-16,-5,-2,-3
0.145,-1,-7,-14,-16,-9,-3,3,1
0.15,-3,2,14,-7,3,-4,-2,-4
0.155,-1,-10,-14,8,-10,-1,1,4
0.16,0,-3,-14,-6,1,2,-3,-6
0.165,1,-1,-6,0,-7,0,-3,-2
0.17,-4,-3,5,-12,-12,-4,-5,-4
0.175,-7,1,8,5,17,3,-2,-4
0.18,1,1,1,8,5,1,-2,-2
0.185,5,3,-3,4,-1,-2,-1,-5
0.19,-1,-8,-18,9,3,-1,-4,1
0.195,-1,3,2,5,1,-10,-3,0
0.2,2,-5,8,-5,-11,-7,0,0
0.205,-3,-5,16,2,-5,4,-1,-2
0.21,3,1,15,3,1,1,3,3
0.215,-2,-2,3,-1,-1,-3,-1,-2
0.22,-4,3,1,-3,8,3,-2,3
0.225,-1,0,-9,-15,-4,-3,0,0
0.23,-3,-1,-12,6,3,3,-4,2
0.235,3,-4,-7,6,1,-1,-5,-2
0.24,-8,-2,-12,0,1,2,-5,3
0.245,-5,-1,-4,4,3,0,-7,-5
0.25,-3,0,-6,0,-3,-2,-5,-2
0.255,-3,-2,-2,-3,-3,-4,0,-6
0.26,2,-4,-25,12,-8,-8,-4,-1
0.265,-1,-2,-7,-15,16,-16,2,2
0.27,0,-4,-17,-4,4,13,0,-2
0.275,1,-14,3,-14,-12,9,0,6
0.28,-2,6,34,0,-15,15,6,3
0.285,0,-5,63,17,-9,-18,-8,-5
0.29,-2,1,16,17,-10,3,-2,-2
0.295,-1,0,-13,-6,3,-4,-3,0
0.3,-1,-7,-33,-27,7,-12,-5,-4
0.305,1,6,-22,3,1,9,2,2
0.31,2,-4,69,-7,11,-5,-3,-2
0.315,-2,1,12,4,-6,4,0,2
0.32,-1,-2,-56,-1,1,1,-1,0
0.325,-2,-10,-60,-46,-10,-7,1,-2
0.33,-1,-1,-27,38,-6,-14,-2,1
0.335,-4,-2,15,47,8,-2,5,-2
0.34,0,-3,24,32,13,4,3,2
0.345,-4,3,3,30,4,19,1,5
0.35,3,-2,-9,-11,7,4,2,5
0.355,-2,-2,16,-10,4,-6,2,1
0.36,-2,3,24,18,-3,-3,-1,-1
0.365,-1,-3,7,4,2,0,-2,-2
0.37,-3,-1,-15,-14,-4,-3,-2,-2
0.375,0,1,-19,-13,-1,1,-5,2
0.38,0,-7,-2,-14,-1,-4,0,-2
0.385,-2,-1,6,-1,-8,-6,-5,-3
0.39,-1,4,5,-10,-4,1,0,-4
0.395,0,-2,-14,-6,-1,-2,0,-1
0.4,1,-3,1,-10,0,4,0,1
0.405,-2,1,18,-12,-7,2,-5,2
0.41,1,-4,-8,1,0,0,2,-7
0.415,-2,1,-4,-2,-2,-2,-5,-1
0.42,2,1,8,-13,-5,-4,-2,-5
0.425,-4,-2,-3,4,0,-1,-1,1
0.43,-2,-6,-7,-6,-2,-2,-5,0
0.435,0,1,-2,-5,-7,-5,-2,-5
0.44,0,2,3,9,6,1,-5,0
0.445,-1,0,-4,0,2,-1,0,-1
0.45,-5,-3,-7,1,3,2,3,-2
0.455,-4,-1,13,-12,7,-2,5,0
0.46,-5,-2,-4,6,4,-4,-5,-1
0.465,2,-4,-7,-6,-6,1,0,-3
0.47,-2,1,-9,-1,-5,-11,-2,0
0.475,0,-5,-2,-3,1,-5,-6,-4
0.48,0,1,14,-2,2,-3,-2,-5
0.485,0,-3,-1,18,5,1,6,0
0.49,3,-2,4,-1,-6,3,0,0
0.495,1,-3,-7,-12,-1,0,-3,-5
0.5,0,-6,0,-26,-10,-1,-2,-1
0.505,-1,2,-9,-13,-10,-2,-6,-4
0.51,-3,-1,-5,0,-9,2,-2,1
0.515,2,0,-27,31,-20,-2,1,-8
0.52,-4,-4,30,12,-18,-3,-4,-1
0.525,-3,4,-5,-37,-3,-1,-4,-4
0.53,-1,4,-29,-22,13,-4,0,0
0.535,-7,-2,7,-24,12,-1,-6,-3
0.54,1,-3,6,-15,4,4,-2,-8
0.545,-1,-1,6,3,-16,-1,0,2
0.55,-2,1,-4,-7,0,-4,-2,-1
0.555,-1,-3,-25,-12,-7,0,-4,-5
0.56,1,-1,79,-6,-1,0,1,0
0.565,0,-4,51,-16,-8,15,1,0
0.57,-3,0,13,-3,-4,-11,-3,0
0.575,-6,0,3,9,0,-9,1,6
0.58,-1,2,-30,15,2,-11,1,-1
0.585,0,1,-19,16,-8,-9,-2,-1
0.59,-2,2,14,9,-3,2,1,-2
0.595,2,-4,-6,1,-1,0,-4,-1
0.6,-7,-2,-21,4,3,4,-2,-3
0.605,6,-1,-2,11,3,-3,-2,4
0.61,-3,-6,-7,-3,-5,2,2,-1
0.615,0,1,11,-7,0,-5,4,7
0.62,-2,-1,-19,-1,-1,-2,-1,-1
0.625,-3,-8,-7,5,7,-1,-2,-7
0.63,1,-2,5,-2,0,-2,-5,-2
0.635,-1,-2,-1,3,6,0,1,-4
0.64,1,-2,-7,4,1,1,4,0
0.645,-5,-3,0,-2,-4,-6,2,-3
0.65,1,0,-1,4,-2,2,1,-6
0.655,-2,-1,8,3,-2,2,2,-3
0.66,-2,-1,-13,-2,-1,-5,2,0
0.665,-1,-1,6,3,7,-5,-2,-3
0.67,0,0,-1,4,0,-2,0,1
0.675,0,-1,-1,0,-4,0,1,2
0.68,-1,-3,-11,6,3,-3,-6,-6
0.685,-9,-5,-1,7,8,-3,3,-1
0.69,-3,-35,6,2,1,0,-1,-1
0.695,-39,-116,-12,3,7,28,2,-5
0.7,-19,-63,23,-26,-4,17,0,7
0.705,-8,-57,-35,-16,2,6,5,3
0.71,-5,-59,-22,-27,-5,-1,-3,0
0.715,14,-45,1,-11,-3,-10,-5,3
0.72,6,-25,-7,1,-3,-6,-4,-1
0.725,-10,-67,-1,-17,0,6,3,-1
0.73,0,97,7,-2,-7,-3,1,4
0.735,3,68,-3,-2,-7,-6,-4,-4
0.74,2,19,-7,-2,-3,0,-5,-6
0.745,7,-9,9,5,-17,-8,-7,0
0.75,0,-41,0,7,-2,-9,-5,-2
0.755,5,-4,10,-4,-11,-12,-9,-6
0.76,-6,-8,-9,-7,0,-8,-1,3
0.765,5,-6,5,9,4,-3,-5,-7
0.77,2,-26,3,5,6,7,-4,-6
0.775,1,6,1,-1,3,5,-1,1
0.78,3,-6,-6,0,-3,2,-1,-2
0.785,-2,10,-3,4,2,0,-13,2
0.79,1,-18,8,6,4,0,0,1
0.795,7,-9,2,-4,-8,-9,-6,-3
0.8,0,3,-2,3,-5,-4,-2,-3
0.805,1,14,5,6,0,3,-3,-2
0.81,5,-7,4,0,-1,-1,0,1
0.815,2,-6,5,-7,-5,-7,-2,0
0.82,0,1,-1,4,1,-1,1,-1
0.825,-3,8,-1,3,3,5,-1,-3
0.83,-8,-13,3,-3,-7,7,-4,-5
0.835,3,6,-5,2,-4,6,-4,-6
0.84,-1,4,0,1,-1,-9,-1,1
0.845,5,-15,6,0,0,-9,1,2
0.85,2,4,-2,7,-1,-10,0,4
0.855,-6,4,-4,-2,4,0,-1,3
0.86,-5,-2,-3,-9,-9,0,-3,-1
0.865,-4,7,-2,5,1,-3,0,0
0.87,0,-6,1,2,-2,-1,-3,0
0.875,-45,12,20,1,-1,-8,-3,-5
0.88,-10,-16,-51,6,4,2,0,-3
0.885,-71,-1,-17,0,1,3,-1,2
0.89,-13,-9,-5,5,2,-3,0,-3
0.895,3,-9,-3,1,2,-4,3,5
0.9,-15,0,15,-2,-3,2,-3,-2
0.905,-62,12,8,-6,-6,-2,-1,-2
0.91,55,-17,-19,5,-2,-1,-1,-4
0.915,6,-12,-9,-3,0,0,-5,-7
0.92,-108,102,5,2,1,-3,-2,-4
0.925,-97,117,-5,-1,3,5,-3,-1
0.93,-71,44,3,-7,-1,-3,-3,-2
0.935,45,-55,-4,-7,-8,-4,-2,-6
0.94,87,-105,22,1,-3,-1,-4,-1
0.945,92,-117,114,-2,-3,-6,-3,-4
0.95,49,-126,93,-6,3,1,5,-5
0.955,51,-10,2,0,-2,-1,-2,0
0.96,59,-21,-68,-4,3,0,-3,1
0.965,58,3,-108,5,-1,-2,3,1
0.97,21,-5,-96,-6,-3,-6,-4,-1
0.975,16,-105,-89,-20,-1,1,2,-1
0.98,13,42,-66,3,-2,-2,5,1
0.985,38,-19,-71,5,-1,-1,-6,-4
0.99,3,-1,-60,-2,-4,1,-6,-7
0.995,-1,16,-47,13,-2,1,-2,1
1,14,-65,-29,0,-3,-4,-2,-2
1.005,17,-128,-29,2,2,2,6,1
1.01,-6,-75,-39,0,-2,-3,-3,-3
1.015,-5,28,-20,0,-3,-30,-4,-1
1.02,50,-6,-3,15,1,-19,1,2
1.025,9,92,-20,2,-8,-9,0,-2
1.03,-11,99,-17,10,-6,-6,0,2
1.035,2,75,-4,6,-8,8,-5,3
1.04,-105,47,2,-38,-13,-7,3,0
1.045,-48,58,-10,-46,-21,-74,-5,-8
1.05,-90,56,-9,-29,-12,-73,-4,-2
1.055,-17,49,1,15,8,-11,0,0
1.06,13,47,-2,13,0,0,-4,-5
1.065,12,29,-7,3,24,25,-3,4
1.07,105,23,-4,-6,-3,-31,-2,8
1.075,112,26,-3,11,-3,-123,3,-5
1.08,-41,9,0,32,19,23,-4,0
1.085,-101,8,-3,-1,5,-29,1,-2
1.09,-128,6,-2,-10,1,26,-6,-3
1.095,-128,4,-2,-4,7,2,1,0
1.1,-27,-3,1,13,1,24,0,-1
1.105,-23,6,-1,-7,-7,6,3,-5
1.11,-26,16,-4,-15,-18,80,-3,2
1.115,-4,3,-2,-5,-12,63,2,3
1.12,1,-5,1,-34,-32,-83,-2,0
1.125,10,80,-3,10,-1,113,-9,2
1.13,6,117,-3,-7,-4,81,2,-4
1.135,-15,59,0,-14,-4,35,-2,-1
1.14,10,-58,1,-7,4,-41,-2,-3
1.145,10,-128,-2,6,-2,-122,-2,6
1.15,9,-128,-2,14,2,-128,-1,-2
1.155,-17,-124,0,-4,-2,-89,-5,-4
1.16,1,-116,-1,-6,-2,-93,2,-2
1.165,19,-125,-2,-3,-9,-127,2,-4
1.17,-10,-113,-1,-4,-2,-127,0,1
1.175,-13,-99,-1,4,-1,-126,2,-1
1.18,6,-75,-1,-10,-11,-47,-6,-5
1.185,-104,-61,-1,1,-9,23,2,-5
1.19,-83,-52,-1,-5,-2,58,2,0
1.195,-24,-53,-1,-5,2,76,1,-3
1.2,51,-32,-107,-18,3,62,-8,-1
1.205,92,-15,-117,-22,-6,51,0,-3
1.21,73,-26,-55,24,-3,39,-1,0
1.215,63,-25,22,8,-4,17,0,2
1.22,7,-4,93,-12,2,48,2,0
1.225,12,-4,108,11,15,9,-1,1
