timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-1,-1,-2,-7,-2,0,-1,-1
0.01,-2,0,-4,-2,0,-4,-6,-4
0.015,1,0,-1,-1,-1,-1,1,-3
0.02,0,-1,-4,0,-2,0,0,-5
0.025,-2,-2,0,3,0,-8,-22,-10
0.03,0,1,0,0,-2,5,3,-8
0.035,0,-1,-1,0,1,6,4,-11
0.04,-2,-4,-4,-5,-3,-1,4,1
0.045,0,3,-1,1,-1,-2,4,1
0.05,3,-3,-1,0,-9,-2,-6,5
0.055,-6,-5,-5,-5,0,-22,-14,4
0.06,-1,1,5,-1,-33,8,-10,8
0.065,2,0,-5,-3,51,26,12,28
0.07,3,0,4,3,4,-1,-1,17
0.075,-1,3,-4,-2,-5,-4,-20,15
0.08,-8,-6,0,-1,3,-17,-7,1
0.085,-9,2,0,-6,-19,-5,9,2
0.09,-6,-2,-3,-3,1,1,-16,5
0.095,-4,-5,2,3,9,-3,0,2
0.1,-7,0,-5,0,-1,-8,3,-3
0.105,11,16,-5,-10,-21,5,27,-2
0.11,-7,-17,4,20,14,6,18,-4
0.115,-5,-4,-4,-12,-2,0,-1,-19
0.12,3,2,1,5,5,-18,-17,-12
0.125,-3,1,-2,-3,-25,3,-2,-18
0.13,-7,-1,-4,-8,22,14,-9,-21
0.135,1,6,3,5,11,-4,-12,-18
0.14,-3,-7,-9,-7,-17,0,-12,-17
0.145,0,-1,-3,1,29,-11,-21,-15
0.15,-3,5,-5,-7,-37,-37,-25,-8
0.155,-2,4,-2,8,-3,46,1,-9
0.16,2,-1,8,7,49,21,8,12
0.165,-5,-5,-3,28,-11,-12,-28,-6
0.17,-7,-5,-9,-46,-20,-58,-39,-7
0.175,4,3,0,-1,-7,69,31,9
0.18,3,5,-4,8,26,-3,9,10
0.185,-3,-9,-1,-11,-32,4,30,10
0.19,0,4,1,27,27,7,6,1
0.195,-1,1,-1,-3,2,-41,-3,16
0.2,3,10,0,-16,-29,9,-12,-1
0.205,2,-3,2,5,4,-1,-3,3
0.21,6,1,-3,2,-5,-5,10,2
0.215,-1,-8,-1,-16,-20,-15,4,2
0.22,-3,-13,0,-7,11,4,1,-2
0.225,-3,-4,1,7,-9,-14,-5,-2
0.23,1,0,0,-7,12,-6,2,1
0.235,1,1,0,-2,-1,4,-2,-1
0.24,-1,-3,-1,-2,-7,-17,0,0
0.245,1,-2,-1,-2,9,39,5,1
0.25,2,-1,-2,-1,-18,-7,-3,-3
0.255,0,6,-2,4,13,-4,-23,-6
0.26,5,0,5,2,4,13,38,12
0.265,2,0,-1,-5,4,-11,8,-2
0.27,-2,-1,-2,-3,-8,-3,-3,-1
0.275,4,6,-4,-4,2,6,2,3
0.28,-1,0,-4,-3,-5,-9,-13,0
0.285,0,-1,-2,-6,-3,-5,1,-7
0.29,1,-6,-1,5,10,10,5,3
0.295,-3,0,3,3,1,-3,10,-4
0.3,0,0,-2,-4,3,-3,-13,-5
0.305,-6,0,-9,-7,-6,-5,-5,-4
0.31,-6,-16,0,-2,0,-2,6,1
0.315,-3,-7,-4,-3,-9,-2,-8,4
0.32,1,-2,-1,0,3,4,3,2
0.325,-2,-4,-1,-5,-3,-19,-13,-7
0.33,-1,6,-2,0,0,4,-4,-10
0.335,-6,-10,3,0,5,10,-6,-3
0.34,-6,-2,-6,-5,-6,-8,-2,-5
0.345,1,0,-1,-6,-48,-19,2,0
0.35,-2,5,1,4,43,3,1,4
0.355,-1,-1,-3,4,36,21,-4,-4
0.36,1,7,-5,-1,-14,-7,3,-5
0.365,-4,-5,2,-2,-13,-19,-14,-5
0.37,-1,-7,-6,-8,-32,-6,40,3
0.375,0,0,-2,-4,-8,0,-4,-4
0.38,1,2,4,2,4,6,-3,-2
0.385,-4,-7,-3,2,25,3,-2,2
0.39,-1,2,2,-4,-4,-6,-14,-6
0.395,-2,0,-3,-10,-27,-28,-1,-4
0.4,-2,-2,-2,5,17,20,3,-1
0.405,2,1,2,9,13,23,12,10
0.41,-3,0,-2,-8,-9,-8,-18,-10
0.415,-2,-3,-3,-2,-16,-7,9,0
0.42,-3,-4,1,-6,-21,-47,-14,4
0.425,2,1,1,5,22,87,8,2
0.43,3,1,0,4,36,7,-2,-7
0.435,3,4,0,0,-17,-19,4,11
0.44,-4,-4,-1,-8,-24,-14,-10,-8
0.445,-2,0,1,-1,-2,-30,-3,-3
0.45,-3,-8,-7,-7,-18,-4,-6,0
0.455,-7,-4,2,1,-4,1,-10,-7
0.46,-3,-2,-3,-2,-16,-14,-17,-3
0.465,4,4,4,-2,12,17,28,3
0.47,1,5,1,6,22,14,-6,-1
0.475,-3,-11,2,10,17,4,4,4
0.48,0,3,-2,-3,1,7,4,1
0.485,-3,-3,-3,-14,-21,-25,-17,-4
0.49,-3,-5,-1,-9,-37,-11,-2,0
0.495,-7,-4,-11,15,34,9,2,-3
0.5,-3,-2,3,1,-8,-3,-2,-5
0.505,0,1,-5,-8,-3,7,-2,-1
0.51,3,1,2,2,12,5,6,5
0.515,-4,-3,1,-6,-10,-8,9,-6
0.52,3,5,5,-1,9,4,-19,3
0.525,-14,-8,-1,3,-24,-47,3,-24
0.53,8,0,-8,-6,-11,61,12,-2
0.535,5,3,1,8,48,14,6,2
0.54,-1,-1,-7,0,-3,4,13,-5
0.545,2,1,4,2,1,-26,-34,-1
0.55,-10,-1,5,1,-33,-51,-51,-14
0.555,5,-1,-12,-18,-45,-1,23,14
0.56,-4,-4,2,1,58,52,-1,-1
0.565,36,3,2,8,12,14,36,14
0.57,-29,4,3,1,4,-5,-13,-1
0.575,0,4,3,-1,-39,-14,-9,-5
0.58,-6,-5,-5,-1,10,-22,9,-1
0.585,3,-4,-9,-7,3,21,24,14
0.59,8,-4,4,5,15,23,52,10
0.595,-3,-2,-3,-1,-15,-23,-35,-12
0.6,-2,-4,-3,-6,-15,6,6,1
0.605,-3,2,0,0,4,-5,-11,-1
0.61,-9,-12,-6,-7,-24,-55,-25,-9
0.615,-9,-5,1,-9,-20,27,27,-8
0.62,12,7,9,12,52,23,11,3
0.625,-6,3,2,-3,1,10,-8,1
0.63,1,-2,-6,14,18,-5,-12,2
0.635,-1,0,-1,-8,-17,-29,-8,-1
0.64,-10,-8,-6,-9,-61,-31,-53,-17
0.645,-6,0,4,0,11,29,31,6
0.65,11,8,4,6,43,23,12,7
0.655,-3,-10,1,5,23,23,8,1
0.66,-7,5,-5,-5,-16,-19,-14,-6
0.665,1,-12,-7,-6,-29,-43,-14,-3
0.67,5,4,0,-9,-35,-17,1,-7
0.675,31,15,13,8,21,26,-3,6
0.68,-51,-19,-19,-8,33,-9,3,-2
0.685,-16,1,-1,5,-23,9,4,10
0.69,53,5,9,1,25,4,5,-3
0.695,-29,-3,-10,-4,-1,-18,-20,-14
0.7,8,2,4,-2,-25,-3,9,-9
0.705,-18,0,5,0,6,22,8,12
0.71,6,-4,4,-2,-24,-19,4,-1
0.715,3,1,-4,-4,31,-12,4,4
0.72,10,-1,8,5,15,30,-7,2
0.725,-5,-4,-21,-2,-15,-40,1,-5
0.73,-19,-5,1,-9,-6,13,-18,-10
0.735,6,0,-1,2,8,14,5,-1
0.74,3,0,-2,2,-6,-4,11,6
0.745,4,0,9,-3,2,-38,-34,-15
0.75,9,-2,-10,-5,-31,19,13,3
0.755,-50,-7,-6,-6,-10,-21,-2,-9
0.76,6,-3,-1,-2,-3,-23,-3,1
0.765,3,-2,-5,-4,-14,54,-3,-5
0.77,-13,0,2,7,87,17,1,4
0.775,8,0,0,6,-6,-9,-3,2
0.78,11,0,1,-2,-29,-8,-7,0
0.785,-8,-2,0,-13,-17,-51,-14,-16
0.79,-26,-9,-12,-14,-82,-70,-32,-6
0.795,26,1,3,-2,53,101,2,-2
0.8,5,7,10,10,31,-13,44,18
0.805,0,-7,-2,5,30,33,1,-4
0.81,-5,1,-2,-3,-13,-17,-13,0
0.815,0,-2,0,2,-3,-3,0,-1
0.82,5,3,1,4,5,27,-2,-1
0.825,-2,-1,-4,2,10,-32,-21,-7
0.83,1,-3,-7,-10,-31,-37,5,-2
0.835,-14,-2,0,-8,-28,-14,-31,4
0.84,27,4,-1,-1,9,27,-4,4
0.845,-16,-2,-2,0,24,27,5,-7
0.85,-13,0,2,0,-10,-40,-20,-9
0.855,11,9,1,-1,-55,33,29,20
0.86,4,-3,-2,1,48,0,-1,-2
0.865,3,-1,-4,-1,9,-18,-21,-2
0.87,-2,-1,0,4,5,16,16,27
0.875,-3,-6,-6,-9,4,-20,-3,-19
0.88,26,1,3,-7,-81,-12,-9,-2
0.885,-10,-1,-1,5,43,27,27,11
0.89,3,1,-1,3,-31,15,-2,-1
0.895,-4,2,5,1,49,-80,-3,-2
0.9,-3,-8,-5,2,34,102,2,-1
0.905,8,3,1,0,-35,-33,12,6
0.91,-2,-1,-1,-1,17,17,-3,-3
0.915,-5,-3,-5,4,-32,-26,19,11
0.92,-15,-4,-4,-9,-18,-45,-4,-15
0.925,0,1,4,-5,-31,-27,-12,-6
0.93,-7,1,-4,6,66,102,19,3
0.935,4,-1,4,3,17,-14,-5,-2
0.94,-16,-3,-3,-6,-10,-32,-27,-4
0.945,-1,-2,-10,-7,-49,-18,-5,1
0.95,4,2,6,4,-4,-16,6,-14
0.955,0,-2,-2,5,18,18,-16,-11
0.96,-5,6,7,4,8,15,14,-2
0.965,11,-5,-2,-5,-3,-6,-9,-1
0.97,0,0,-1,-6,-22,-62,-36,-9
0.975,7,3,0,-7,-35,51,54,7
0.98,-11,-6,-6,9,66,-2,5,-1
0.985,6,3,8,5,27,4,0,2
0.99,-2,-2,-1,5,18,60,12,4
0.995,-3,-1,2,-2,-19,-44,-23,-5
1,-2,-2,-8,-10,-63,-35,-5,-4
1.005,25,2,-4,-1,36,10,-7,-3
1.01,-6,-1,2,0,-2,-21,1,7
1.015,0,1,7,5,-2,-27,-14,-5
1.02,-8,-12,-15,-14,-5,47,-5,21
1.025,10,3,0,2,22,26,11,-30
1.03,-10,-2,1,1,-28,-7,5,2
1.035,10,1,6,4,29,-2,-14,-5
1.04,-1,-2,-6,-4,-2,-32,6,3
1.045,-17,-6,-3,-7,-47,-69,-23,-2
1.05,10,-2,-1,-13,-36,24,-6,-3
1.055,-22,-2,-2,8,59,71,30,13
1.06,3,-3,-3,8,-18,-57,-16,-7
1.065,-10,-5,-5,-7,59,115,35,11
1.07,0,4,3,16,30,-14,17,2
1.075,3,-8,-17,-13,-59,-43,-43,-6
1.08,0,7,10,6,-14,-28,-9,-5
1.085,-9,3,2,-8,-54,-16,-8,-5
1.09,6,-4,5,-7,-15,-34,-7,-4
1.095,-3,-15,-32,-10,-28,22,-2,-4
1.1,0,3,6,7,87,42,22,1
1.105,-13,2,3,4,-25,-32,0,15
1.11,13,2,-4,-1,38,54,28,2
1.115,-35,-1,7,-2,-7,-15,-43,-8
1.12,-3,0,-6,-7,-80,-14,35,-6
1.125,1,2,25,3,34,29,-18,1
1.13,-6,-3,-44,3,44,-34,-8,-9
1.135,7,-5,-11,-8,-14,-32,-14,9
1.14,-2,-3,5,-1,-26,28,6,-19
1.145,1,0,-2,8,67,52,2,3
1.15,5,1,4,-4,-40,-26,-8,-6
1.155,3,0,5,-9,-11,-6,-4,-5
1.16,-8,-5,-3,-9,-19,-80,-46,3
1.165,3,-6,-6,0,-49,-8,20,-5
1.17,-8,-4,0,-2,74,78,16,7
1.175,8,-1,0,3,35,27,13,-5
1.18,18,8,13,7,8,13,9,8
1.185,-10,-1,0,-1,-34,-43,-8,-8
1.19,-11,-12,-6,-11,-36,-48,-14,2
1.195,2,4,2,-6,-42,-6,-2,-5
1.2,11,-2,-2,6,28,21,20,4
1.205,1,-2,0,1,34,19,-6,0
1.21,-6,-2,-23,-2,-26,-60,-30,-11
1.215,11,2,6,1,15,34,12,5
1.22,-15,0,1,-1,2,35,-6,-3
1.225,2,-2,-14,1,-25,-47,-20,-7
1.23,-15,1,11,-1,4,28,16,-3
1.235,7,-3,-2,-4,-6,-67,-6,-2
1.24,-6,0,-11,-10,-40,45,-16,-1
1.245,-2,3,11,21,107,32,38,10
1.25,10,0,9,-5,-90,-67,-13,-8
1.255,-34,-2,-2,2,58,95,8,25
1.26,21,4,-9,3,-3,-37,14,2
