timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.54,0,12,0,-2,-2,-3,-2,-1,0.0
0.545,-6,-9,-39,-12,-5,-5,-4,-4,0.0
0.55,1,5,11,1,1,0,0,1,0.0
0.555,2,3,5,2,-3,0,-1,-1,0.0
0.56,-2,-13,6,-1,0,0,0,-1,0.0
0.5650000000000001,2,2,5,3,2,0,2,2,0.0
0.5700000000000001,-1,1,-11,-4,-2,-1,-1,-1,0.0
0.5750000000000001,0,8,9,-2,-4,-3,-1,-1,0.0
0.58,-2,-16,-7,-3,-3,-1,-3,0,0.0
0.585,0,9,-1,1,3,-1,0,0,0.0
0.59,1,-2,2,4,3,0,-2,0,0.0
0.595,-3,-8,-4,-4,-1,1,-2,-2,0.0
0.6,-1,-12,6,2,-2,-2,-2,-2,0.0
0.605,-1,1,-9,-5,-5,-3,-1,-2,0.0
0.61,0,3,12,3,-1,0,-1,0,0.0
0.615,3,18,12,5,3,0,1,0,0.0
0.62,-1,2,-27,-9,-4,-3,0,0,0.0
0.625,-1,-15,16,3,2,-1,-1,-2,0.0
0.63,1,13,10,-1,0,-1,0,0,0.0
0.635,-2,-10,-21,-2,-2,-2,0,-2,0.0
0.64,-2,-1,20,0,-2,-2,-3,-3,0.0
0.645,1,18,2,-1,0,2,0,1,0.0
0.65,-1,-6,5,2,-3,-2,-2,-3,0.0
0.655,0,-6,5,1,-1,1,-2,0,0.0
0.66,-1,-3,-10,-1,-1,-1,0,-2,0.0
0.665,-2,3,-2,0,-1,-1,0,0,0.0
0.67,-1,-1,9,2,0,-1,-1,-2,0.0
0.675,3,11,10,1,1,0,1,2,0.0
0.68,-10,-20,-66,-18,-6,-7,-5,-6,0.0
0.685,2,-11,20,-1,-1,-1,0,-2,0.0
0.6900000000000001,-2,-3,-11,-2,1,1,2,-2,0.0
0.6950000000000001,-3,9,10,5,2,-2,-2,-1,0.0
0.7000000000000001,3,3,14,3,1,1,-2,1,0.0
0.705,-5,-15,-9,-3,-3,-4,-5,-3,0.0
0.71,0,2,15,1,-4,-2,-1,-1,0.0
0.715,-3,-7,-49,-8,2,3,1,-1,0.0
0.72,0,1,14,4,3,0,-1,-2,0.0
0.725,-1,12,0,-3,-1,0,-3,0,0.0
0.73,0,-17,26,3,-4,-4,-1,-2,0.0
0.735,-1,-3,-15,-1,-3,-1,-1,0,0.0
0.74,-4,-20,-15,-4,0,-1,0,-3,0.0
0.745,-2,-4,-29,-4,-1,-3,-2,0,0.0
0.75,1,15,-19,-5,-4,-2,0,-1,0.0
0.755,-1,3,14,1,-2,-2,-1,-2,0.0
0.76,4,8,25,8,0,-1,0,1,0.0
0.765,1,-2,24,2,1,-1,-1,-1,0.0
0.77,-2,-13,-30,-4,0,-1,-2,0,0.0
0.775,-4,6,-21,-8,-4,-3,-3,-4,0.0
0.78,0,9,33,5,0,0,-3,0,0.0
0.785,-2,-4,4,0,1,2,-2,-2,0.0
0.79,-2,13,-15,-5,0,-1,-2,0,0.0
0.795,-4,-32,31,4,0,-1,-1,-2,0.0
0.8,-2,4,-3,0,-1,0,-1,-1,0.0
0.805,2,8,12,6,-1,0,0,1,0.0
0.81,-7,-14,-55,-14,-5,-4,-4,-4,0.0
0.8150000000000001,3,6,9,0,3,3,3,1,0.0
0.8200000000000001,-2,-4,-22,0,-3,-4,-1,0,0.0
0.8250000000000001,3,10,34,5,0,-2,0,1,0.0
0.8300000000000001,-2,-20,-22,-9,-5,-1,-2,-5,0.0
0.835,-3,-1,-7,-5,-3,-4,-2,-1,0.0
