timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-3,-11,25,6,5,-1,4,-2
0.01,-13,19,16,7,0,4,2,5
0.015,-5,-3,-50,4,-5,-3,-4,-5
0.02,10,62,-39,-2,7,0,3,-5
0.025,-2,-6,-32,8,-4,-1,0,-6
0.03,7,-16,-8,-19,-1,-2,-1,-5
0.035,3,-16,-14,5,12,1,0,1
0.04,-2,-14,-13,-16,5,4,4,-3
0.045,7,11,1,-4,9,2,0,-4
0.05,-8,1,37,-6,-3,-3,-2,2
0.055,-14,-5,24,-19,-9,-1,-4,0
0.06,-6,-3,-1,-4,1,-2,-2,-3
0.065,-7,13,-3,-9,2,1,1,0
0.07,-8,-12,1,13,-5,-3,-2,1
0.075,0,-3,8,8,2,-3,-4,-1
0.08,2,-30,-9,-3,1,3,3,-4
0.085,12,62,-21,2,-11,-4,0,7
0.09,3,-21,-25,-6,-7,-1,-7,2
0.095,-6,-12,11,3,-1,-3,1,2
0.1,-19,14,7,-17,-7,-2,-1,-6
0.105,-11,-30,21,28,6,4,-3,2
0.11,-4,-23,4,13,0,-3,-6,2
0.115,0,24,0,0,-3,1,-2,0
0.12,-1,-15,7,1,-9,-2,-2,1
0.125,1,-3,-1,-5,-2,0,1,-1
0.13,-4,-8,1,1,-3,-3,-3,1
0.135,-2,1,-7,0,-3,-4,-2,-4
0.14,1,8,-16,-11,0,2,0,-1
0.145,-3,-3,-1,15,-10,-6,1,-4
0.15,-3,-15,-7,-2,0,-2,-1,-1
0.155,1,-3,10,1,-3,-6,-2,-5
0.16,2,20,-11,14,0,-9,-2,-1
0.165,1,-17,4,-17,3,4,0,-1
0.17,-4,1,1,-11,-7,5,5,3
0.175,-1,1,-2,22,10,6,-2,2
0.18,0,-5,-39,-9,9,1,4,-11
0.185,1,-7,18,-11,-2,-2,-3,-1
0.19,-2,-1,0,30,-1,-5,-4,2
0.195,0,-10,-18,-16,-6,-2,-4,1
0.2,4,11,11,-8,3,2,-1,-4
0.205,-2,9,-2,21,3,-1,-2,0
0.21,1,-9,8,-10,-3,-1,-1,-1
0.215,-1,-25,19,17,-1,0,0,-3
0.22,-2,35,-4,3,-1,1,0,0
0.225,5,45,-16,-11,0,-1,1,-6
0.23,-2,-8,0,14,0,3,0,1
0.235,-3,14,-19,-22,3,-1,-4,-4
0.24,-1,-29,18,3,-19,-1,2,3
0.245,2,-1,-4,-5,11,3,2,0
0.25,-1,38,-16,-30,3,0,-3,-4
0.255,6,7,13,30,-8,-1,3,0
0.26,1,-4,3,-14,4,1,-1,-2
0.265,-6,-4,-9,16,2,0,-3,-1
0.27,2,-13,15,-4,-12,-5,-4,-1
0.275,10,32,-40,-19,9,4,3,6
0.28,-4,-2,9,15,-10,-1,-2,3
0.285,-6,6,19,-16,2,-6,-5,-6
0.29,-1,13,44,3,3,0,-3,-3
0.295,-6,-15,-35,-13,-6,-6,-6,-6
0.3,-2,-37,15,11,-4,-7,-1,-1
0.305,0,11,-14,-10,8,0,0,-3
0.31,10,24,-16,-12,-5,1,2,1
0.315,-10,58,12,13,-6,1,2,4
0.32,1,45,-31,2,4,1,0,-1
0.325,-3,-23,-28,-2,-2,3,1,-4
0.33,-2,-6,45,17,-4,-6,0,-5
0.335,6,53,-20,-11,-3,0,3,5
0.34,-2,6,-22,-14,2,-2,-2,-4
0.345,-7,0,19,9,-2,1,2,2
0.35,-3,-10,-25,-10,-5,-2,-1,0
0.355,2,-26,12,-4,5,-2,-4,-5
0.36,-5,-24,-32,8,1,0,-1,1
0.365,0,49,-24,1,0,-3,-1,-1
0.37,7,-88,25,5,-25,-3,-5,7
0.375,2,-41,20,-26,-13,-13,-10,-8
0.38,-8,44,7,23,-5,4,4,9
0.385,-8,-32,-10,-5,-5,-4,-7,-4
0.39,-2,30,14,12,21,3,2,-8
0.395,6,80,-5,22,-17,0,6,3
0.4,3,-18,9,-16,-7,-6,-4,-6
0.405,11,-22,-3,-9,-1,1,1,8
0.41,6,20,-19,7,4,-8,-4,-2
0.415,-21,-36,-2,-12,14,10,3,-4
0.42,0,9,20,-5,3,-2,1,-3
0.425,4,22,18,12,-1,2,1,3
0.43,10,-78,48,-36,-16,-12,-9,2
0.435,-18,-76,0,23,5,2,1,-5
0.44,-3,10,46,-26,-7,-3,-7,-6
0.445,-4,-13,-66,7,-6,-4,-1,3
0.45,1,11,-104,5,5,0,-4,-2
0.455,17,-66,-51,0,-4,-18,-13,-3
0.46,-1,31,-72,16,7,7,5,3
0.465,1,-50,43,-17,-3,0,1,0
0.47,1,27,67,10,5,6,7,-4
0.475,-8,-3,110,15,-3,2,4,4
0.48,12,-42,14,-17,9,2,-1,5
0.485,4,2,64,-25,-26,-12,-3,5
0.49,-6,19,-66,12,9,3,3,4
0.495,-1,58,-5,-10,1,-1,-3,-3
0.5,-6,34,-31,4,-9,-4,-4,-2
0.505,6,67,-39,5,12,0,-1,-3
0.51,-14,-73,-62,5,-16,6,1,15
0.515,-2,16,-20,-52,-13,0,2,1
0.52,-3,75,-13,9,7,-6,-15,-15
0.525,-14,-49,-47,-23,-17,-1,-5,-1
0.53,-2,18,-34,28,6,-3,-5,2
0.535,-7,60,-40,11,16,-5,-9,-7
0.54,4,-99,55,18,4,11,9,7
0.545,-11,-6,39,8,-6,-4,-3,-9
0.55,-16,26,28,-17,3,0,2,-14
0.555,-5,-45,25,-6,-9,2,-4,2
0.56,0,8,-15,-6,-3,-7,-2,-8
0.565,-4,4,-3,4,6,1,2,0
0.57,-5,22,-17,-14,1,1,1,-1
0.575,25,-60,-75,29,12,5,-1,7
