timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.555,-1,-2,7,-1,-2,-6,-9,-3,0.0
0.56,-1,0,-11,-15,-3,-3,-4,2,0.0
0.5650000000000001,-3,-5,1,21,-2,5,5,2,0.0
0.5700000000000001,-2,3,-6,-2,3,-1,0,0,0.0
0.5750000000000001,-5,6,11,-4,-3,-2,-3,-5,0.0
0.58,-2,-6,-29,1,-6,-3,-5,-2,0.0
0.585,0,3,-5,-12,4,-2,3,-4,0.0
0.59,-1,10,32,10,-1,4,1,4,0.0
0.595,1,-8,-87,-7,-2,-7,-6,-4,0.0
0.6,1,-10,39,-1,2,2,1,-1,0.0
0.605,-5,-2,23,-8,-7,0,-4,0,0.0
0.61,1,10,31,-14,-1,-2,-3,-2,0.0
0.615,-5,-18,-21,13,-10,-4,-3,-2,0.0
0.62,10,36,27,11,8,1,3,0,0.0
0.625,-5,-12,-76,-5,2,-1,0,-1,0.0
0.63,0,-10,-2,-4,-7,0,-1,1,0.0
0.635,1,4,-1,-21,0,0,1,-3,0.0
0.64,-3,-12,-10,7,-1,0,-2,-1,0.0
0.645,-1,7,47,40,-2,1,3,0,0.0
0.65,-3,0,-25,-11,3,-2,0,1,0.0
0.655,-2,1,51,19,10,3,-3,-1,0.0
0.66,-8,-18,-76,5,-1,-2,-2,-1,0.0
0.665,0,4,23,35,0,2,1,-3,0.0
0.67,6,10,12,49,6,4,4,0,0.0
0.675,-19,-40,-78,-104,-35,-17,-13,-3,0.0
0.68,4,8,48,28,0,-1,-3,0,0.0
0.685,5,9,23,1,4,1,2,0,0.0
0.6900000000000001,-2,-15,-12,34,2,-1,1,-2,0.0
0.6950000000000001,5,18,43,34,12,7,7,2,0.0
0.7000000000000001,-2,-2,-17,-23,-8,-7,-5,-2,0.0
0.705,6,-8,-18,-20,-6,-4,-6,-3,0.0
0.71,-4,12,2,-1,3,0,5,2,0.0
0.715,13,9,8,5,11,6,6,1,0.0
0.72,-7,-10,1,-12,-1,-3,2,-2,0.0
0.725,-26,-11,0,1,2,-2,-3,-6,0.0
0.73,7,-5,0,-27,-7,-5,-3,-2,0.0
0.735,0,-1,10,-1,-4,-1,-4,0,0.0
0.74,6,-2,13,7,-3,-1,0,2,0.0
0.745,10,3,-1,-10,-1,3,2,3,0.0
0.75,-7,-9,-13,-17,-3,0,-7,-5,0.0
0.755,-3,3,13,7,-3,-5,1,-2,0.0
0.76,3,4,16,6,4,1,-2,-3,0.0
0.765,-4,-7,-10,-9,-1,0,0,0,0.0
0.77,-3,-8,-6,-11,-7,-1,-1,1,0.0
0.775,6,6,17,12,-1,-1,-2,-2,0.0
0.78,-2,0,9,-1,0,-2,-1,1,0.0
0.785,-3,-4,-10,-11,1,1,-1,0,0.0
0.79,-3,-7,-16,0,-7,-6,-6,0,0.0
0.795,-5,-2,-8,0,-4,2,4,0,0.0
0.8,-18,-7,-5,-12,-5,-1,-15,1,0.0
0.805,-3,-6,-2,0,-5,0,-1,-3,0.0
0.81,-2,-1,1,1,-2,-2,-1,0,0.0
0.8150000000000001,2,-1,2,1,2,-1,1,-5,0.0
0.8200000000000001,2,-4,-2,0,2,2,7,0,0.0
0.8250000000000001,4,5,10,-1,-1,1,1,0,0.0
0.8300000000000001,-5,-6,-4,-7,-5,-2,-2,0,0.0
0.835,-1,6,6,-1,-3,-3,-4,-1,0.0
0.84,-3,-25,-10,-2,0,1,-3,-1,0.0
0.845,-1,8,1,-3,-1,-1,-4,1,0.0
0.85,-17,-4,-1,-4,2,-1,0,-3,0.0
0.855,-8,5,-6,2,1,-4,-3,-6,0.0
0.86,-6,1,0,-3,1,-2,1,-3,0.0
0.865,-8,-16,9,0,-1,0,-1,0,0.0
0.87,-17,-55,1,-5,-4,-4,-2,0,0.0
0.875,12,98,-2,-1,-1,5,2,7,0.0
0.88,13,7,14,-1,-4,0,-4,-1,0.0
0.885,7,-6,18,2,-3,-2,-2,2,0.0
0.89,-7,7,13,-1,0,0,-3,0,0.0
0.895,-15,-30,14,3,-1,-3,-3,-2,0.0
0.9,-11,-4,-11,0,0,0,2,-2,0.0
0.905,-8,10,-12,-1,-1,-1,-2,-1,0.0
0.91,9,8,-30,-1,-1,-3,-2,-2,0.0
0.915,11,25,0,30,5,-3,-3,-2,0.0
0.92,-8,-25,3,66,16,12,10,7,0.0
0.925,-16,-61,-102,-97,-41,-21,-13,-15,0.0
0.93,16,16,52,27,-5,-2,2,0,0.0
0.935,-8,-44,1,18,-4,2,-1,1,0.0
0.9400000000000001,2,19,34,30,3,0,-1,4,0.0
0.9450000000000001,2,14,16,51,14,4,1,1,0.0
0.9500000000000001,-2,-1,-36,-22,-4,-1,-5,-3,0.0
0.9550000000000001,2,-10,-6,-21,-3,-4,-3,-5,0.0
0.96,1,8,-7,-10,-4,-4,0,-2,0.0
0.965,-2,-4,4,2,4,1,0,3,0.0
0.97,6,10,-6,-17,-4,-2,-2,0,0.0
0.975,-1,-13,12,4,3,2,-1,0,0.0
0.98,-4,-3,-11,-24,-7,-4,-3,-5,0.0
0.985,1,13,9,11,4,2,3,0,0.0
0.99,-3,4,19,6,1,2,2,-3,0.0
0.995,-5,-17,-21,-35,-8,-3,-4,7,0.0
1.0,0,-1,-1,-14,-6,-4,-1,-4,0.0
1.0050000000000001,1,8,22,7,3,1,-2,-2,0.0
1.01,2,5,14,23,7,3,2,1,0.0
1.0150000000000001,-4,-12,-7,1,-2,0,0,-3,0.0
1.02,1,2,-9,-13,-6,-4,-3,0,0.0
1.025,0,0,15,14,4,0,1,1,0.0
1.03,-3,1,2,15,2,0,-1,-1,0.0
1.035,-5,-6,-3,-9,-2,-2,-2,0,0.0
1.04,-4,-6,-4,-32,-11,-6,-4,-7,0.0
1.045,-1,5,12,16,4,1,1,-2,0.0
1.05,-5,-5,4,-8,-1,-1,-2,0,0.0
1.055,0,1,-23,12,1,1,0,-2,0.0
1.06,-4,2,-19,8,2,0,-2,-4,0.0
1.065,1,-25,-27,-9,-5,-3,-1,1,0.0
1.07,-2,-3,29,25,1,-2,0,-1,0.0
1.075,-11,-47,-14,-22,0,2,1,0,0.0
1.08,0,14,-1,-17,-8,-5,-4,-4,0.0
1.085,0,-2,20,47,11,6,4,3,0.0
1.09,-2,-11,-25,-18,-5,-1,-3,-1,0.0
1.095,0,-5,-13,-46,-11,-7,-5,-4,0.0
1.1,0,1,16,7,2,-1,1,1,0.0
1.105,-3,0,10,3,1,0,-1,-3,0.0
1.11,9,12,9,35,5,4,4,5,0.0
1.115,-4,16,8,21,1,0,-2,-3,0.0
1.12,-3,4,-13,-10,-2,-1,-1,9,0.0
1.125,4,30,19,10,-1,0,-2,0,0.0
1.1300000000000001,-2,-5,-16,-36,-7,-1,-1,-2,0.0
1.135,-1,-2,4,-2,-2,1,-1,-3,0.0
1.1400000000000001,-1,-13,-8,1,-1,-3,-1,0,0.0
1.145,-2,7,7,1,1,-1,-1,-1,0.0
1.1500000000000001,3,16,-17,-16,-4,-3,-1,-2,0.0
1.155,-2,3,7,5,1,-2,1,0,0.0
1.16,-3,6,29,17,2,0,0,-1,0.0
1.165,-2,17,-34,-20,-5,-4,-2,-1,0.0
1.17,-2,-18,0,-12,-3,-1,-1,-2,0.0
1.175,-1,11,21,13,1,0,-3,2,0.0
